sentence,span,type,uri,relation,question,gold givenName
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Macneill,person,(Q5696799),given name,What is the given name of Macneill?,Hector
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Hogg,person,(Q941810),given name,What is the given name of Hogg?,James
"Ebers takes the King’s Theatre, 187; Letters to Garcia, 191 Emdin’s Duet, 258: English and Italian Tone,",Ebers,person,(Q6231101),given name,What is the given name of Ebers?,John
"M. Barriere has published four sets of quartets, and several Symphonies, concertos, trios, and duets.",M. Barriere,person,(Q726908),given name,What is the given name of M. Barriere?,Jean-Baptiste
"It was Mendelssohn’s birthday, and his friends combined to keep it with due festivity.",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"But te this day, Mendelssohn yet speaks — speaks by that beautiful life of which, thanks to volumes like the one here noticed, we are permitted to know so much.",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"Schumann came from the gymnasium to Leipzig in 1828, to study Jurisprudence",Schumann,person,(Q7351),given name,What is the given name of Schumann?,Robert
it was accompanied ‘on the oboe (obligato) by N Mr. Parke..,Mr. Parke,person,(Q18757223),given name,What is the given name of Mr. Parke?,William; Thomas
"Philidor afterwards obtained permission to give this Concert Spirituel in the palace of the Tuileries, in the private theatre of which it continued to take place annually for many years.",Philidor,person,(Q362339),given name,What is the given name of Philidor?,André
"La Prisonniere, another comic opera in one act, of which Boieldieu had written the greater part, had a better fate: this work was plaved at the Theatre Montausier, on the 12th of September of the same year.",Boieldieu,person,(Q109875),given name,What is the given name of Boieldieu?,François; Adrien
"Mr. Joseph Calkin made his debut in public very successfully, and sang a poor song by Mercadante with much energy and. taste.",Mercadante,person,(Q313980),given name,What is the given name of Mercadante?,Giuseppe
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",M. Siismayer,person,(Q310518),given name,What is the given name of M. Siismayer?,Franz; Xaver
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",Breitkopf,person,(Q55902416),given name,What is the given name of Breitkopf?,Bernhard
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",Haertel,person,(Q1419801),given name,What is the given name of Haertel?,Gottfried
We may now quit I Purcell and come » down toa period a little later.,Purcell,person,(Q9695),given name,What is the given name of Purcell?,Henry
"In October Adelina Patti will re - appear in Paris until December, and will then go for two months'td St. Petersburg, returning to the French capital to complete her engagementiat the Italian Opera House up to May, when Adelina Patti will again visit this country for the Royal Italian Opera season.",Adelina Patti,person,(Q234166),given name,What is the given name of Adelina Patti?,Adelina
"In October Adelina Patti will re - appear in Paris until December, and will then go for two months'td St. Petersburg, returning to the French capital to complete her engagementiat the Italian Opera House up to May, when Adelina Patti will again visit this country for the Royal Italian Opera season.",Adelina Patti,person,(Q234166),given name,What is the given name of Adelina Patti?,Adelina
"In the soirees of the Princess Belmonte Spinelli, which take place.",Princess Belmonte Spinelli,person,(Q23010905),given name,What is the given name of Princess Belmonte Spinelli?,Chiara
"Mr. Sims Reeves made a genuine hit in Arthur Sullivan’s song,",Mr. Sims Reeves,person,(Q7521239),given name,What is the given name of Mr. Sims Reeves?,John
"Mr. Sims Reeves made a genuine hit in Arthur Sullivan’s song,",Arthur Sullivan,person,(Q212692),given name,What is the given name of Arthur Sullivan?,Q1778168; Seymour
"Mr. Sams, St. James's Street; and at M. Jullien’s office, 3, Maddox Street, Bond Street.",M. Jullien,person,(Q660539),given name,What is the given name of M. Jullien?,Louis; Antoine
"Seven Years of the King’s Theatre, by J ohn Ebers, late Manager of the King’s Theatre in the Haymarket.",J ohn Ebers,person,(Q6231101),given name,What is the given name of J ohn Ebers?,John
"We have had a French opera, at the head of which was M. ‘Nourrit, first tenor of the Academie Royale de Musique.",M. ‘ Nourrit,person,(Q634623),given name,What is the given name of M. ‘ Nourrit?,Adolphe
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Rubini,person,(Q941040),given name,What is the given name of Rubini?,Giovanni; Battista
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Tamburini,person,(Q605376),given name,What is the given name of Tamburini?,Antonio
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Lablache,person,(Q477681),given name,What is the given name of Lablache?,Luigi
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Malibran,person,(Q232783),given name,What is the given name of Malibran?,Felicitas; María
"adapted to the Airs, including upwards of ONE Hunprep Sones dy Burns.",Burns,person,(Q81960),given name,What is the given name of Burns?,Robert
"Spontini's Vestale has been repeated, and met with considerable applause.",Spontini,person,(Q168485),given name,What is the given name of Spontini?,Gaspare; Pacifico; Luigi
"At some concerts, at the Feydeau, i in 1794, he executed some concerted symphonies of Devienne’s Sy with M. Huguot, Frederic and Charles Duvernoy.",Charles Duvernoy,person,(Q1064184),given name,What is the given name of Charles Duvernoy?,Jacques
< < La voix de téte de Mademoiselle Pasta 2,Mademoiselle Pasta,person,(Q240963),given name,What is the given name of Mademoiselle Pasta?,Q18191101
"The programme included some favourite songs, and Balfe’s duet",Balfe,person,(Q434171),given name,What is the given name of Balfe?,Michael; William
"I composed these variations to a Theme which had already been varied by Paganini, I had no intention of publishing them.",Paganini,person,(Q66075),given name,What is the given name of Paganini?,Niccolò
"Weber’s Concert Stiick tells a complete story of anxiety in absence, a knight’s return, his true love",Weber,person,(Q154812),given name,What is the given name of Weber?,Carl; Maria
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Arthur O’ Leary,person,(Q17984779),given name,What is the given name of Arthur O’ Leary?,Q1778168
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Brinley Richards,person,(Q4850963),given name,What is the given name of Brinley Richards?,Henry
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Frederick Westlake,person,(Q18546502),given name,What is the given name of Frederick Westlake?,Frederick
"In one of her most eloquent passages, Charlotte Bronté said: —",Charlotte Bronté,person,(Q127332),given name,What is the given name of Charlotte Bronté?,Charlotte
"Schumann was giving concerts there in Dresden with Joachim, the great. violinist.",Schumann,person,(Q7351),given name,What is the given name of Schumann?,Robert
"Schumann was giving concerts there in Dresden with Joachim, the great. violinist.",Joachim,person,(Q159976),given name,What is the given name of Joachim?,József
Mr. Ebers here canvasses the question whether a committee is best calculated to manage a theatre?,Mr. Ebers,person,(Q6231101),given name,What is the given name of Mr. Ebers?,John
"It is copied from the original, in the hand - writing of the composer, and which, if we are rightly informed, is now - in the possession- of M. Schlesinger, the wellknown music - seller, at Paris.",M. Schlesinger,person,(Q70457),given name,What is the given name of M. Schlesinger?,Maurice
This is the most important of Cimador’s Ss arrarigements.,Cimador,person,(Q3762403),given name,What is the given name of Cimador?,Giambattista
"Antoine Barthelemi Bruni was born at Coni, in Piedmont, in 1752, and was a very distinguished violinist.",Antoine Barthelemi Bruni,person,(Q599823),given name,What is the given name of Antoine Barthelemi Bruni?,Antonio
Musical colouring has gained considerably by Rossini’s new operas.,Rossini,person,(Q9726),given name,What is the given name of Rossini?,Gioacchino
"— though it was excellently well performed by Phillips, Hill, and Severn.",Phillips,person,(Q18671452),given name,What is the given name of Phillips?,Henry
"Perluigi da Palestrina was born in the year 1529, at Palestrina, the Preeneste of the antients: he is stated by.",Perluigi da Palestrina,person,(Q179277),given name,What is the given name of Perluigi da Palestrina?,Giovanni
"The musical arrangements were under the direction of the organist and choirmaster of the parish church, Mr. J. V, Roberts, Mus, Bac.","Mr. J. V , Roberts",person,(Q56183619),given name,"What is the given name of Mr. J. V , Roberts?",John
"this means the enormous distance there is between Rameau and Lully, the most laboured works of the latter being almost childishly simple compared with Rameau’s first opera.",Rameau,person,(Q1145),given name,What is the given name of Rameau?,Jean-Philippe
"this means the enormous distance there is between Rameau and Lully, the most laboured works of the latter being almost childishly simple compared with Rameau’s first opera.",Lully,person,(Q1192),given name,What is the given name of Lully?,Jean-Baptiste
"this means the enormous distance there is between Rameau and Lully, the most laboured works of the latter being almost childishly simple compared with Rameau’s first opera.",Rameau,person,(Q9726),given name,What is the given name of Rameau?,Gioacchino
"* Sento oh Dio” — Madame Ronzi de Begnis, Miss Stephens, Signor Garcia, Signor de Begnis, and Mr. oo Phillips",Madame Ronzi de Begnis,person,(Q3266332),given name,What is the given name of Madame Ronzi de Begnis?,Giuseppina
"* Sento oh Dio” — Madame Ronzi de Begnis, Miss Stephens, Signor Garcia, Signor de Begnis, and Mr. oo Phillips",Miss Stephens,person,(Q5052928),given name,What is the given name of Miss Stephens?,Catherine
"* Sento oh Dio” — Madame Ronzi de Begnis, Miss Stephens, Signor Garcia, Signor de Begnis, and Mr. oo Phillips",Signor de Begnis,person,(Q3770409),given name,What is the given name of Signor de Begnis?,Giuseppe
", We - were never more, if indeed so much convinced, of Mr. Braham’s. superior natural and acquired endowment.",Mr. Braham,person,(Q1699393),given name,What is the given name of Mr. Braham?,John
"Tue refined and poetical vocal music of Mr. Salaman appears to be winning its way as speedily as it deserves, if we may judge from the list of his works which accompanies this song.",Mr. Salaman,person,(Q2959519),given name,What is the given name of Mr. Salaman?,Charles
"- Dittersdorf’s music to the Doctor and Apothecary, a drama translated and prepared for the stage by Mr. Cobb.",Dittersdorf,person,(Q78522),given name,What is the given name of Dittersdorf?,Carl
"- Dittersdorf’s music to the Doctor and Apothecary, a drama translated and prepared for the stage by Mr. Cobb.",Mr. Cobb,person,(Q6131504),given name,What is the given name of Mr. Cobb?,James
"In March 1787, Storace, with his sister, returned to England.",Storace,person,(Q2369747),given name,What is the given name of Storace?,Stephen
"name so Jong as Adelina Patti remains on the stage, which will be for two years more",Adelina Patti,person,(Q234166),given name,What is the given name of Adelina Patti?,Adelina
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Bach,person,(Q1339),given name,What is the given name of Bach?,Sebastian; Johann
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Haydn,person,(Q7349),given name,What is the given name of Haydn?,Joseph
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Bennett,person,(Q201164),given name,What is the given name of Bennett?,William
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Guilmant,person,(Q350359),given name,What is the given name of Guilmant?,Alexandre
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Martini,person,(Q283651),given name,What is the given name of Martini?,Giovanni Battista
I shall cite two which Dr. Burney has given in proof of the tact I state.; a.,Dr. Burney,person,(Q547002),given name,What is the given name of Dr. Burney?,Charles
Louis Capotorti — who passes for a harmonist of Durante’ Ss.,Louis Capotorti,person,(Q17992489),given name,What is the given name of Louis Capotorti?,Luigi
Louis Capotorti — who passes for a harmonist of Durante’ Ss.,Durante,person,(Q314221),given name,What is the given name of Durante?,Francesco
"Mr. Hummel’s rondo is a spirited piece, completely in the German style of composition.",Mr. Hummel,person,(Q151953),given name,What is the given name of Mr. Hummel?,Nepomuk; Johann
"The remaining portion of the programme was composed entirely of compositions by Sir Sterndale Bennett, it being the anniversary of his death.",Sir Sterndale Bennett,person,(Q201164),given name,What is the given name of Sir Sterndale Bennett?,William
"It begins with a recitative, more powerful than the general tenor of Weber’s writing in this species.",Weber,person,(Q154812),given name,What is the given name of Weber?,Carl; Maria
"I again express a hope that the Copyright Commission, of which Sir Julius Benedict is a member, will in any amendment of the copyright laws compel publishers to notify any reservation of rights.",Sir Julius Benedict,person,(Q510435),given name,What is the given name of Sir Julius Benedict?,Julius
"That Dr. John Bull was admitted to the livery, though not sworn, for his love and kindness in bestowing the music which was performed in the King’s Chamber gratis.",Dr. John Bull,person,(Q511463),given name,What is the given name of Dr. John Bull?,John
"Pathetic Air, wiih Variations for the Piano Forte, by J. N. Hummel.",J. N. Hummel,person,(Q151953),given name,What is the given name of J. N. Hummel?,Nepomuk; Johann
"Furno, who fills this post, is equally active and skilful.",Furno,person,(Q555808),given name,What is the given name of Furno?,Giovanni
"The second concert (next Thursday) will open with the Egmont Overture, and the Symphony will be the magnificent No.. 3, in B flat, by Schumann.",Schumann,person,(Q7351),given name,What is the given name of Schumann?,Robert
"On this point, we learn a curious fact from Dr. Chrysander.",Dr. Chrysander,person,(Q65274),given name,What is the given name of Dr. Chrysander?,Friedrich
"Out of the 626 works given in Kéchel’s Catalogue, about 540 will be included in this edition, the remainder being either lost, not quite com - plete, or of doubtful authenticity.",Kéchel,person,(Q78529),given name,What is the given name of Kéchel?,Ludwig
"Miss Groom, Miss Flower, and Miss Cubitt; Mr. White, Mr. Giubilei, and Mr. John Parry.",Mr. John Parry,person,(Q6251987),given name,What is the given name of Mr. John Parry?,John
"They are distinguished from writings of a similar order by Bellini, Balfe, and other Italian songmakers, by their unassailable correctness.",Bellini,person,(Q170209),given name,What is the given name of Bellini?,Salvatore; Carmelo; Francesco; Vincenzo
"They are distinguished from writings of a similar order by Bellini, Balfe, and other Italian songmakers, by their unassailable correctness.",Balfe,person,(Q434171),given name,What is the given name of Balfe?,Michael; William
", upon hearing of Mr. Viotti’s situation, proposed his undertaking the direction of the Academie Royale de Musique.",Mr. Viotti,person,(Q313188),given name,What is the given name of Mr. Viotti?,Giovanni Battista
"There are more than two hundred works whith as yet remain in manuscript, while a large number of those which have been published are so incorrect and incomplete that they can hardly be said to be known at all, as Mozart wrote them.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"Song, composed by Signor de Beguis; the words by Eugenius Roche Esq.",Signor de Beguis,person,(Q3770409),given name,What is the given name of Signor de Beguis?,Giuseppe
"Song, composed by Signor de Beguis; the words by Eugenius Roche Esq.",Eugenius Roche,person,(Q17015704),given name,What is the given name of Eugenius Roche?,Eugenius
The programme consisted of Mozart's String Quintett in C major; Haydn's Variations on the Austrian Hymn; Regondi’s us.,Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
The programme consisted of Mozart's String Quintett in C major; Haydn's Variations on the Austrian Hymn; Regondi’s us.,Haydn,person,(Q7349),given name,What is the given name of Haydn?,Joseph
The programme consisted of Mozart's String Quintett in C major; Haydn's Variations on the Austrian Hymn; Regondi’s us.,Regondi,person,(Q981612),given name,What is the given name of Regondi?,Giulio
"Beethoven’s Symphonyin A, No.7, was carefully rendered, and Mr. G. A. Maclarren’s Overture",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
"Beethoven’s Symphonyin A, No.7, was carefully rendered, and Mr. G. A. Maclarren’s Overture",Mr. G. A. Maclarren,person,(Q1374708),given name,What is the given name of Mr. G. A. Maclarren?,Alexander; Q15921732
The concert was conducted by Mr. Walter Macfarren with his usual judgment and precision.,Mr. Walter Macfarren,person,(Q18954633),given name,What is the given name of Mr. Walter Macfarren?,Walter
"It is written in Italian, by Stefano Arteaga, a Spaniard and an ex - Jesuit.",Stefano Arteaga,person,(Q3972360),given name,What is the given name of Stefano Arteaga?,Stefano
Six more numbers of the new edition of Cramer's works are published.,Cramer,person,(Q455212),given name,What is the given name of Cramer?,Johann
"In 1800 he gave two concerts, for the benefit of his master, Gavinies, who presented him with his portrait.",Gavinies,person,(Q490205),given name,What is the given name of Gavinies?,Pierre
"And here a question presents itself, which has often been a matter of controversy between the friends and detractors of Cherubini.",Cherubini,person,(Q20721),given name,What is the given name of Cherubini?,Louis-Marie
"M. Danjou, organist of Notre Dame, at Paris, has recently discovered in the church of Soliez Ville, in the department of the Var, an organ built so far back as the year 1450.",M. Danjou,person,(Q444728),given name,What is the given name of M. Danjou?,Félix
"Since that period, Dr. Burney obtained two copies of it while in Italy — one from the Padre Martini, who possessed one himself, and the other from Signor Santar elli.",Dr. Burney,person,(Q547002),given name,What is the given name of Dr. Burney?,Charles
"Since that period, Dr. Burney obtained two copies of it while in Italy — one from the Padre Martini, who possessed one himself, and the other from Signor Santar elli.",Padre Martini,person,(Q283651),given name,What is the given name of Padre Martini?,Giovanni Battista
"Since that period, Dr. Burney obtained two copies of it while in Italy — one from the Padre Martini, who possessed one himself, and the other from Signor Santar elli.",Signor Santar elli,person,(Q5565524),given name,What is the given name of Signor Santar elli?,Giuseppe
"He was for many years the usical eptor of the family of the late King Louis ippe, of France.",King Louis ippe,person,(Q7771),given name,What is the given name of King Louis ippe?,Louis-Philippe
This is the only one of Rossini’s early works that has retained its place on the stage.,Rossini,person,(Q9726),given name,What is the given name of Rossini?,Gioacchino
"The choruses would have done credit to Exeter Hall, which is saying a great deal for the choir, and a great deal for Sir Henry Bishop, the director.",Sir Henry Bishop,person,(Q1200639),given name,What is the given name of Sir Henry Bishop?,Henry; Rowley
"Books 1 and 2 of Cottage Divertimentos for the Piano Forte, by P. A. Corri 3.",P. A. Corri,person,(Q7183128),given name,What is the given name of P. A. Corri?,Q1778168; Antony
"Gems a la Pasta, a Dramatic Fantasia, by J. Moscheles.",J. Moscheles,person,(Q159551),given name,What is the given name of J. Moscheles?,Ignaz
"Delcambre Thomas, pupil of M. Ozi, professor of the bassoon ce2",Delcambre Thomas,person,(Q55836534),given name,What is the given name of Delcambre Thomas?,Thomas
"Delcambre Thomas, pupil of M. Ozi, professor of the bassoon ce2",M.,person,(Q289996),given name,What is the given name of M.?,Étienne
"Delcambre Thomas, pupil of M. Ozi, professor of the bassoon ce2",Ozi,person,(Q289996),given name,What is the given name of Ozi?,Étienne
"Immediately in their footsteps appeared those great harmonists Gaetano Greco, Albinoni Caldara,",Gaetano Greco,person,(Q1339827),given name,What is the given name of Gaetano Greco?,Gaetano
"Immediately in their footsteps appeared those great harmonists Gaetano Greco, Albinoni Caldara,",Albinoni,person,(Q174606),given name,What is the given name of Albinoni?,Tomaso
"Immediately in their footsteps appeared those great harmonists Gaetano Greco, Albinoni Caldara,",Caldara,person,(Q311571),given name,What is the given name of Caldara?,Antonio
"It is necessary to give a more complete analysis of the first chapter, perhaps, than of the subsequent: ones, as it displays in some degree the plan which the Padre Martini intended to pursue.",Padre Martini,person,(Q283651),given name,What is the given name of Padre Martini?,Giovanni Battista
"The honour of a musical doctorate has been but seldom granted by the University of Durham, one of the last to receive this distinction having been the late lamented Dr. Dykes.",Dr. Dykes,person,(Q3269824),given name,What is the given name of Dr. Dykes?,John
M. Choron has however re - embodied the bulk of his examples in his “Principes de Composition.,M. Choron,person,(Q1392901),given name,What is the given name of M. Choron?,Alexandre
"An unfortunate intrigue with a lady of royal birth, having obliged Jarnowick to quit France @ la sourdine, in the year 1780, his situation was filled by the incomparable Viotti, whom the author of Les Jardins, Delille, used to call the “Pindar of the Violin.”",Jarnowick,person,(Q1526160),given name,What is the given name of Jarnowick?,Ivan; Giovanni
"An unfortunate intrigue with a lady of royal birth, having obliged Jarnowick to quit France @ la sourdine, in the year 1780, his situation was filled by the incomparable Viotti, whom the author of Les Jardins, Delille, used to call the “Pindar of the Violin.”",Viotti,person,(Q313188),given name,What is the given name of Viotti?,Giovanni Battista
"An unfortunate intrigue with a lady of royal birth, having obliged Jarnowick to quit France @ la sourdine, in the year 1780, his situation was filled by the incomparable Viotti, whom the author of Les Jardins, Delille, used to call the “Pindar of the Violin.”",Delille,person,(Q981922),given name,What is the given name of Delille?,Jacques
"As Italian music is strengthened by the adoption of accompaniments written in the style of Haydn and Mozart, -as the operas of Rossini are enjoyed at Vienna and at Berlin, nearly as much as at Naples and Milan, it is probable that thirty years hence there will be but one style of Mugisseurs.",Haydn,person,(Q7349),given name,What is the given name of Haydn?,Joseph
"As Italian music is strengthened by the adoption of accompaniments written in the style of Haydn and Mozart, -as the operas of Rossini are enjoyed at Vienna and at Berlin, nearly as much as at Naples and Milan, it is probable that thirty years hence there will be but one style of Mugisseurs.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"As Italian music is strengthened by the adoption of accompaniments written in the style of Haydn and Mozart, -as the operas of Rossini are enjoyed at Vienna and at Berlin, nearly as much as at Naples and Milan, it is probable that thirty years hence there will be but one style of Mugisseurs.",Rossini,person,(Q9726),given name,What is the given name of Rossini?,Gioacchino
"Miss Sterling, a young Jady not more than 17 years of age, a pupil of Mr. Neate, played Mr. Moscheles’ fantasia on. the air, “du clair de la lune,” with such uncommon brilliancy of finger and excellence of style as to do equal honour to her own industry, and to the care even of so fine a master as Mr. Neate.",Mr. Neate,person,(Q18526894),given name,What is the given name of Mr. Neate?,Charles
"Miss Sterling, a young Jady not more than 17 years of age, a pupil of Mr. Neate, played Mr. Moscheles’ fantasia on. the air, “du clair de la lune,” with such uncommon brilliancy of finger and excellence of style as to do equal honour to her own industry, and to the care even of so fine a master as Mr. Neate.",Mr. Moscheles,person,(Q159551),given name,What is the given name of Mr. Moscheles?,Ignaz
"Miss Sterling, a young Jady not more than 17 years of age, a pupil of Mr. Neate, played Mr. Moscheles’ fantasia on. the air, “du clair de la lune,” with such uncommon brilliancy of finger and excellence of style as to do equal honour to her own industry, and to the care even of so fine a master as Mr. Neate.",Mr. Neate,person,(Q18526894),given name,What is the given name of Mr. Neate?,Charles
"The foundation of the Church Orchestral Society, by the Honourable Richard Strutt, and the hearty support given it by Sir John Stainer, has furthered i m great measure this desirable movement, and its. progress has been assisted in no small degree by the individual efforts. of organists, whose endeavours deserve cordial: commendation.",the Honourable Richard Strutt,person,(Q75270792),given name,What is the given name of the Honourable Richard Strutt?,Richard
"The foundation of the Church Orchestral Society, by the Honourable Richard Strutt, and the hearty support given it by Sir John Stainer, has furthered i m great measure this desirable movement, and its. progress has been assisted in no small degree by the individual efforts. of organists, whose endeavours deserve cordial: commendation.",Sir John Stainer,person,(Q1388550),given name,What is the given name of Sir John Stainer?,John
"We advisedly say “our”! distinguished pianist, because forty - five years of residence in this country, and of unbroken hard work in our English schools of music, the Royal Academy, Royal College, Guildhall School, and the tentative National Training School entitle Mr. Pauer to the citizenship of our land as well as the gratitude of all those who know how important and. widespread his influence has been.",Mr. Pauer,person,(Q79183),given name,What is the given name of Mr. Pauer?,Ernest
"John of Procida was among the most active leaders in this revolt, and his name and exploits, forming the theme of many a poem and romance, have now been celebrated by MM. Scribe and Verdi in the opera of Les Vépres Siciliennes.",John of Procida,person,(Q1227361),given name,What is the given name of John of Procida?,Giovanni; John
"John of Procida was among the most active leaders in this revolt, and his name and exploits, forming the theme of many a poem and romance, have now been celebrated by MM. Scribe and Verdi in the opera of Les Vépres Siciliennes.",Scribe,person,(Q319261),given name,What is the given name of Scribe?,Eugène
"John of Procida was among the most active leaders in this revolt, and his name and exploits, forming the theme of many a poem and romance, have now been celebrated by MM. Scribe and Verdi in the opera of Les Vépres Siciliennes.",Verdi,person,(Q7317),given name,What is the given name of Verdi?,Francesco; Fortunio; Giuseppe
"Nevertheless, the house was crowded, and the performances, consisting of a miscellaneous concert. by the orchestra, Thalberg, d’Angri, and various German singing societies, (the best of which, however, had withdrawn their servi, ces in view of the above - mentioned condition), and the first act of Fidelio.",Thalberg,person,(Q347871),given name,What is the given name of Thalberg?,Sigismund; Sigismond
"Nevertheless, the house was crowded, and the performances, consisting of a miscellaneous concert. by the orchestra, Thalberg, d’Angri, and various German singing societies, (the best of which, however, had withdrawn their servi, ces in view of the above - mentioned condition), and the first act of Fidelio.",d’Angri,person,(Q5358988),given name,What is the given name of d’Angri?,Elena
"About’ this time, too, he rejected: an offer from an amateur of Paris, which commissioned him to produce a vocal composition after the manner of Rameau and ‘Lulli, passages of their works being at thesame.time sent to. him as models.",Rameau,person,(Q1145),given name,What is the given name of Rameau?,Jean-Philippe
"About’ this time, too, he rejected: an offer from an amateur of Paris, which commissioned him to produce a vocal composition after the manner of Rameau and ‘Lulli, passages of their works being at thesame.time sent to. him as models.",Lulli,person,(Q1192),given name,What is the given name of Lulli?,Jean-Baptiste
"Below Schandau you pass the bold promontory of Schramstein, close sunder the fortified heights of Pfaffenstein, and ‘Konigstein with its impregnable fortress — against whose walls Napoleon battered: in vain — thence on, through a wild country of tale - telling tradition, “thé cradle of gnomes and. kobolds,”’ till, at length, near Dresden you emerge among thriving. Villages and cultivated fields; like the exit, on the. Neckar, from the vallies of Odenwald upon the plains of the Rhine at Heidelberg.",Napoleon,person,(Q517),given name,What is the given name of Napoleon?,Napoléon
"Until the appearance of Lully’s overtures such a prelude was never thought of, and what is even more singular, by their novelty and excellence, they continued for a long time to hold their place and pre - eminence, and were played before operas composed by Vinci, Leo, and Pergolesi, nearly a century after the date of their original production.",Lully,person,(Q1192),given name,What is the given name of Lully?,Jean-Baptiste
"Until the appearance of Lully’s overtures such a prelude was never thought of, and what is even more singular, by their novelty and excellence, they continued for a long time to hold their place and pre - eminence, and were played before operas composed by Vinci, Leo, and Pergolesi, nearly a century after the date of their original production.",Vinci,person,(Q29577),given name,What is the given name of Vinci?,Leonardo
"Until the appearance of Lully’s overtures such a prelude was never thought of, and what is even more singular, by their novelty and excellence, they continued for a long time to hold their place and pre - eminence, and were played before operas composed by Vinci, Leo, and Pergolesi, nearly a century after the date of their original production.",Leo,person,(Q316735),given name,What is the given name of Leo?,Leonardo
"Until the appearance of Lully’s overtures such a prelude was never thought of, and what is even more singular, by their novelty and excellence, they continued for a long time to hold their place and pre - eminence, and were played before operas composed by Vinci, Leo, and Pergolesi, nearly a century after the date of their original production.",Pergolesi,person,(Q185312),given name,What is the given name of Pergolesi?,Giovanni; Battista
"His brightest years were those divided betwixt London and Paris, < when he formed one of the quartet - with Madame Grisi, Signori Lablache and Tamburini; his most luerdtive | professional’ days were possibly those last ones spent in St. Petersburgh, where H- M. the - Czar, to do him honor, made him Colonel of a regiment.",Madame Grisi,person,(Q287344),given name,What is the given name of Madame Grisi?,Giulia
"His brightest years were those divided betwixt London and Paris, < when he formed one of the quartet - with Madame Grisi, Signori Lablache and Tamburini; his most luerdtive | professional’ days were possibly those last ones spent in St. Petersburgh, where H- M. the - Czar, to do him honor, made him Colonel of a regiment.",Lablache,person,(Q477681),given name,What is the given name of Lablache?,Luigi
"His brightest years were those divided betwixt London and Paris, < when he formed one of the quartet - with Madame Grisi, Signori Lablache and Tamburini; his most luerdtive | professional’ days were possibly those last ones spent in St. Petersburgh, where H- M. the - Czar, to do him honor, made him Colonel of a regiment.",Tamburini,person,(Q605376),given name,What is the given name of Tamburini?,Antonio
