sentence,span,type,uri,relation,question,gold CoC
"The chairman was supported by Messrs. Clementi, J. B. Cramer, Braham and Moscheles.",J. B. Cramer,person,(Q455212),country of citizenship,What is the country of citizenship of J. B. Cramer?,United Kingdom of Great Britain and Ireland
"The chairman was supported by Messrs. Clementi, J. B. Cramer, Braham and Moscheles.",Braham,person,(Q1699393),country of citizenship,What is the country of citizenship of Braham?,United Kingdom of Great Britain and Ireland
"The chairman was supported by Messrs. Clementi, J. B. Cramer, Braham and Moscheles.",Moscheles,person,(Q159551),country of citizenship,What is the country of citizenship of Moscheles?,Holy Roman Empire; Austrian Empire; Habsburg monarchy
"The principal new productions, besides Der Templer und die Jiidin, which particularly delighted the Jews, have been Die Fremde (La Straniera), of Bellini, Der Vampyr, of Marschner, and Zampa, of Herold.",Bellini,person,(Q170209),country of citizenship,What is the country of citizenship of Bellini?,Kingdom of Sicily (1734-1816)
"The principal new productions, besides Der Templer und die Jiidin, which particularly delighted the Jews, have been Die Fremde (La Straniera), of Bellini, Der Vampyr, of Marschner, and Zampa, of Herold.",Marschner,person,(Q160063),country of citizenship,What is the country of citizenship of Marschner?,Holy Roman Empire
"The principal new productions, besides Der Templer und die Jiidin, which particularly delighted the Jews, have been Die Fremde (La Straniera), of Bellini, Der Vampyr, of Marschner, and Zampa, of Herold.",Herold,person,(Q362639),country of citizenship,What is the country of citizenship of Herold?,France
"(1 Movement, with Cadenza by Moscheles,) Quintet and 2d Piano Accompaniment,..” Miss Jennie H. Baxter.",Moscheles,person,(Q159551),country of citizenship,What is the country of citizenship of Moscheles?,Holy Roman Empire; Austrian Empire; Habsburg monarchy
"They have been well - set by Mr. Braham, who has ‘most appropriately introduced some of the most beautiful traits of Weber’s own melodies.",Mr. Braham,person,(Q1699393),country of citizenship,What is the country of citizenship of Mr. Braham?,United Kingdom of Great Britain and Ireland
"They have been well - set by Mr. Braham, who has ‘most appropriately introduced some of the most beautiful traits of Weber’s own melodies.",Weber,person,(Q154812),country of citizenship,What is the country of citizenship of Weber?,Prince-Bishopric of Lübeck
"and shall be fully rewarded if the connoisseur: shall find in my work any portion, however small, of the immortal genius of Mozart.",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"Mr. De Beriot’s concerto had all his beautiful perfection — so smooth, so sweet, 80 brilliant, and in such exquisite taste.",Mr. De Beriot,person,(Q385217),country of citizenship,What is the country of citizenship of Mr. De Beriot?,Belgium
It reaches its perfection in that delicious art which Mozart may be said to have originated and perfected.,Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"part with his never - failing ability, and M. Tolbeeque led the band.",M. Tolbeeque,person,(Q2871419),country of citizenship,What is the country of citizenship of M. Tolbeeque?,France
"Several of the compositions of Sir Henry Bishop were performed, and the whole gave unmitigated pleasure to the immense assemblage of amateurs.",Sir Henry Bishop,person,(Q1200639),country of citizenship,What is the country of citizenship of Sir Henry Bishop?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"In the reign of Edward I., it again rose to eminence.",Edward I.,person,(Q57798),country of citizenship,What is the country of citizenship of Edward I.?,Kingdom of England
"Mestrino published twelve concertos for his instrument, which contain extremely beautiful solos..",Mestrino,person,(Q1984708),country of citizenship,What is the country of citizenship of Mestrino?,
I can not thank you sufficiently for this splendid testimonial which you and other friends have just presented to me under this hospitable roof by the hands of Lord Dudley.,Lord Dudley,person,(Q8019995),country of citizenship,What is the country of citizenship of Lord Dudley?,
"Cupis, the rival of Leclair, was considered as a very superior chamber violinist.",Cupis,person,(Q1684628),country of citizenship,What is the country of citizenship of Cupis?,France
"Cupis, the rival of Leclair, was considered as a very superior chamber violinist.",Leclair,person,(Q348875),country of citizenship,What is the country of citizenship of Leclair?,France
"Anton Stradler, the clarinettist, for whom Mozart wrote his admirable quintet, was not ashamed to take unfair advantage of that generosity.",Anton Stradler,person,(Q78623),country of citizenship,What is the country of citizenship of Anton Stradler?,Habsburg monarchy
"Anton Stradler, the clarinettist, for whom Mozart wrote his admirable quintet, was not ashamed to take unfair advantage of that generosity.",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"Dr. Harington was greatly overcome by the scene, and could only exclaim, ‘She is an angel,’ as he left the room.",Dr. Harington,person,(Q18671401),country of citizenship,What is the country of citizenship of Dr. Harington?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Ramsay's poetry, therefore, declined in popularity, even in Scotland, as taste and delicacy advanced; and.",Ramsay,person,(Q654775),country of citizenship,What is the country of citizenship of Ramsay?,Scotland
"A committee of London gentlemen have issued a proposal for the representation of a series of ancient “Italian operas, to be given under the direction of “Signer -Monari",Signer -Monari,person,(Q3680460),country of citizenship,What is the country of citizenship of Signer -Monari?,
Sir Walter Scott appears in his usual energy and vigour.,Sir Walter Scott,person,(Q79025),country of citizenship,What is the country of citizenship of Sir Walter Scott?,United Kingdom; Kingdom of Great Britain
"Gebauer Francois Réné was born at Veisailles, i in 1775.",Gebauer Francois Réné,person,(Q96558),country of citizenship,What is the country of citizenship of Gebauer Francois Réné?,France
"Three Grand Sonatas for the Piano F orte, composed by Charles Ambrose eoeesereeeceens ee 104 XVI.",Charles Ambrose,person,(Q5075106),country of citizenship,What is the country of citizenship of Charles Ambrose?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"the Duke of Edinburgh publicly announced that there was no intention, in founding this Institution, of interfering with the operations of the Royal Academy of Music; and that many other speakers, including Sir Julius Benedict, expressed their intention of supporting the new school as an ally, and not as a rival, of the older one.",Duke of Edinburgh,person,(Q158143),country of citizenship,What is the country of citizenship of Duke of Edinburgh?,United Kingdom of Great Britain and Ireland
"the Duke of Edinburgh publicly announced that there was no intention, in founding this Institution, of interfering with the operations of the Royal Academy of Music; and that many other speakers, including Sir Julius Benedict, expressed their intention of supporting the new school as an ally, and not as a rival, of the older one.",Sir Julius Benedict,person,(Q510435),country of citizenship,What is the country of citizenship of Sir Julius Benedict?,Kingdom of Württemberg; United Kingdom of Great Britain and Ireland
"The programme will contain a new piano - forte and violoncello sonata by Mendelssohn, to be performed by Bennett and Lucas.",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"The programme will contain a new piano - forte and violoncello sonata by Mendelssohn, to be performed by Bennett and Lucas.",Bennett,person,(Q201164),country of citizenship,What is the country of citizenship of Bennett?,United Kingdom of Great Britain and Ireland
"The programme will contain a new piano - forte and violoncello sonata by Mendelssohn, to be performed by Bennett and Lucas.",Lucas,person,(Q5080372),country of citizenship,What is the country of citizenship of Lucas?,United Kingdom of Great Britain and Ireland
"Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.",Sir J. Goss,person,(Q345870),country of citizenship,What is the country of citizenship of Sir J. Goss?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.",C. Steggall,person,(Q5082654),country of citizenship,What is the country of citizenship of C. Steggall?,United Kingdom of Great Britain and Ireland
who would insist upon the mountain's coming to Mahomet.,Mahomet,person,(Q9458),country of citizenship,What is the country of citizenship of Mahomet?,
"’s performance of the first Allegro and Andante of Rubinstein’s Violin Concerto in G, at the third concert, was in every respect admirable.",Rubinstein,person,(Q87567),country of citizenship,What is the country of citizenship of Rubinstein?,Russian Empire
"T he programme was divided into two parts, the first being exclusively devoted to sacred music, the main feature of which was a selection from Mendelssohn’s Elijah.",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"’s Pastoral Symphony in his Christmas Oratorio, and Handel’s piece of the same name in his Messiah,",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"Wis Royal Highness the Duke of Cumberland, Thursday, March 4th, 1824.",Duke of Cumberland,person,(Q162302),country of citizenship,What is the country of citizenship of Duke of Cumberland?,Kingdom of Hanover; United Kingdom of Great Britain and Ireland
"Under the direction of His Grace the Archbishop of York, Wednesday, March 24th; 1824.",Archbishop of,person,(Q3048710),country of citizenship,What is the country of citizenship of Archbishop of?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Mr. H. W. George presided at the harmonium, and Mr. J. Lunn conducted.",Mr. J. Lunn,person,(Q16198956),country of citizenship,What is the country of citizenship of Mr. J. Lunn?,United Kingdom of Great Britain and Ireland
The concert began with Auber’s pretty and sparkling overture to Les Diamans de la Cou-.,Auber,person,(Q157672),country of citizenship,What is the country of citizenship of Auber?,France
"The conversation turned upon Gnecco’s comic duet, which Malibran sang so frequently and charmingly with Lablache.",Gnecco,person,(Q1121021),country of citizenship,What is the country of citizenship of Gnecco?,
"The conversation turned upon Gnecco’s comic duet, which Malibran sang so frequently and charmingly with Lablache.",Malibran,person,(Q232783),country of citizenship,What is the country of citizenship of Malibran?,France
"The conversation turned upon Gnecco’s comic duet, which Malibran sang so frequently and charmingly with Lablache.",Lablache,person,(Q477681),country of citizenship,What is the country of citizenship of Lablache?,
"Variations on a favourite Russian Air, by C. M. de Weber » Brilliant Polonaise for the Piano Forte, on the German Arietta,",C. M. de Weber,person,(Q154812),country of citizenship,What is the country of citizenship of C. M. de Weber?,Prince-Bishopric of Lübeck
"National Hymn, (with chorus), to celebrate the return of the Prince of Wales.",Prince of Wales,person,(Q20875),country of citizenship,What is the country of citizenship of Prince of Wales?,United Kingdom of Great Britain and Ireland
Dr. Sponr attended a musical meeting of the Society of British Musicians this morning. — Particulars in our next.,Dr. Sponr,person,(Q57226),country of citizenship,What is the country of citizenship of Dr. Sponr?,Duchy of Brunswick
This pointing of the Canticles is authorised by His Grace the Archbishop of York.,His Grace the Archbishop,person,(Q377308),country of citizenship,What is the country of citizenship of His Grace the Archbishop?,United Kingdom of Great Britain and Ireland
"We also heard a superb Magnificat i in A minor by L. Leo, which seemed to us worthy of the composer..",L. Leo,person,(Q316735),country of citizenship,What is the country of citizenship of L. Leo?,
Mr. Kiallmark’s three pieces have much to recommend them.,Mr. Kiallmark,person,(Q18671297),country of citizenship,What is the country of citizenship of Mr. Kiallmark?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Suffice itto say that they are in Handel’s grandest manner, and that he never surpassed them, ‘even in his oratorios.",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
This was never heard of after the retreat of Mr. Waters to Calais.,Mr. Waters,person,(Q16859200),country of citizenship,What is the country of citizenship of Mr. Waters?,Wales; Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"For terms, apply to Mr. E. J. Bilton, Trinity College, Cambridge.",Mr. E. J. Bilton,person,(Q110966934),country of citizenship,What is the country of citizenship of Mr. E. J. Bilton?,
"[ i Crociato, 373 Mayseder’s Compositions, 360, 310 Mazurka, 236 Melographicon, 409 Mengozzi, 345 Mestrino, 40.",Mayseder,person,(Q672225),country of citizenship,What is the country of citizenship of Mayseder?,Austria
"[ i Crociato, 373 Mayseder’s Compositions, 360, 310 Mazurka, 236 Melographicon, 409 Mengozzi, 345 Mestrino, 40.",Mestrino,person,(Q1984708),country of citizenship,What is the country of citizenship of Mestrino?,
"Fabio Constantini flourished about the year 1630, and ultimately became maestro at the chapel of Loretto.",Fabio Constantini,person,(Q3737659),country of citizenship,What is the country of citizenship of Fabio Constantini?,
"O great Beethoven, we brought to thee a worthy sacrifice!",Beethoven,person,(Q255),country of citizenship,What is the country of citizenship of Beethoven?,Austrian Empire; Electorate of Cologne
"Book 8 opens witha composition in four parts, by Mr. Novello, of which the combined elegance and learning",Mr. Novello,person,(Q2526705),country of citizenship,What is the country of citizenship of Mr. Novello?,United Kingdom of Great Britain and Ireland
"Under the Direction of his Royal Highness the Duke of Cumberland, Wednesday, March 27, 1833.",Duke of Cumberland,person,(Q162302),country of citizenship,What is the country of citizenship of Duke of Cumberland?,Kingdom of Hanover; United Kingdom of Great Britain and Ireland
"M. Le- vassor will, moreover, sing two of his most popular chansonettes.",M. Le- vassor,person,(Q3385954),country of citizenship,What is the country of citizenship of M. Le- vassor?,France
"The Banks of Allan Water, arranged with an Introduction and Coda for the Piano Forte; by Cipriani Potter.",Cipriani Potter,person,(Q1092737),country of citizenship,What is the country of citizenship of Cipriani Potter?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Mr. W. H.- Cummings, a most zealous musical antiquarian, as",W. H.- Cummings,person,(Q3827349),country of citizenship,What is the country of citizenship of W. H.- Cummings?,United Kingdom of Great Britain and Ireland
This was the first of Rossini’s operas performed on anystage.,Rossini,person,(Q9726),country of citizenship,What is the country of citizenship of Rossini?,Papal States; Kingdom of Italy
This was the last great work of the immortal Handel.,Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"Quoniam tu sanctus solus,” from his last Mass for Eight Voices, arranged from the full score, by Vincent Novello, Re.",Vincent Novello,person,(Q2526705),country of citizenship,What is the country of citizenship of Vincent Novello?,United Kingdom of Great Britain and Ireland
"Three Easy Duets for Two Violoncellos, by F. W. Crouch -.... 254 XV.",F. W. Crouch,person,(Q5497599),country of citizenship,What is the country of citizenship of F. W. Crouch?,United Kingdom of Great Britain and Ireland
Ebdon’s Magnificat and Nunc dimittis in C were admirably sung.,Ebdon,person,(Q3525084),country of citizenship,What is the country of citizenship of Ebdon?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"In 1763 he composed a grand cantata for the chapel of Sonderhausen, which was performed at a féte on the birth - day of the Prince of Swartzburg.",Prince of Swartzburg,person,(Q832878),country of citizenship,What is the country of citizenship of Prince of Swartzburg?,Schwarzburg-Sondershausen
"He afterwards received further instructions from Saratelli, the predecessor of Galuppi;, as Chapel Master of St. Mark at Venice.",Saratelli,person,(Q1522112),country of citizenship,What is the country of citizenship of Saratelli?,Republic of Venice
"He afterwards received further instructions from Saratelli, the predecessor of Galuppi;, as Chapel Master of St. Mark at Venice.",Galuppi,person,(Q208338),country of citizenship,What is the country of citizenship of Galuppi?,Republic of Venice
Mr. Manns deserves much credit for the introduction of this interesting composition.,Mr. Manns,person,(Q4820769),country of citizenship,What is the country of citizenship of Mr. Manns?,German Confederation; United Kingdom of Great Britain and Ireland; German Reich
These extracts are from Sir John Malcolm’ s Memoir of Central India.,Sir John Malcolm,person,(Q1700959),country of citizenship,What is the country of citizenship of Sir John Malcolm?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"great degree to the stiff and scholastic epoch in which he lived, Rameau will always be placed in the first rank of French composers, because he was the most inventive.",Rameau,person,(Q1145),country of citizenship,What is the country of citizenship of Rameau?,Kingdom of France
"Miss Rainforth, Mrs. A. Shaw, Mr. Bennett, and Mr. Phillips....",Miss Rainforth,person,(Q17355767),country of citizenship,What is the country of citizenship of Miss Rainforth?,
"Composed and Dedicated to MISS DOLBY, BY FELIX MENDELLSOAN BARTHOLDY.",MISS DOLBY,person,(Q4164386),country of citizenship,What is the country of citizenship of MISS DOLBY?,United Kingdom of Great Britain and Ireland
"Composed and Dedicated to MISS DOLBY, BY FELIX MENDELLSOAN BARTHOLDY.",FELIX MENDELLSOAN BARTHOLDY,person,(Q46096),country of citizenship,What is the country of citizenship of FELIX MENDELLSOAN BARTHOLDY?,Hamburg; Kingdom of Saxony
"It is these melodies, combined with the lightness and elasticity of the composer, which bear up ‘the spirits of the. audience, and- render Rossini so powerful.",Rossini,person,(Q9726),country of citizenship,What is the country of citizenship of Rossini?,Papal States; Kingdom of Italy
"All this — in Mendelssohn’s case, a any rate — was",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Miss Paton,person,(Q16888398),country of citizenship,What is the country of citizenship of Miss Paton?,Scotland
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Madame Caradori Allan,person,(Q16065895),country of citizenship,What is the country of citizenship of Madame Caradori Allan?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Mademoiselle Brambilla,person,(Q3984276),country of citizenship,What is the country of citizenship of Mademoiselle Brambilla?,Kingdom of Italy
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Signor de Begnis,person,(Q3770409),country of citizenship,What is the country of citizenship of Signor de Begnis?,
"The principal instrumental piece was Mozart's Jupiter Symphony, which was rendered throughout with excellent effect.",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"The two families appear to: lived in perfect union, for Mrs. Moscheles fe to a friend at the time,",Mrs. Moscheles,person,(Q159551),country of citizenship,What is the country of citizenship of Mrs. Moscheles?,Holy Roman Empire; Austrian Empire; Habsburg monarchy
"On the 14th ult the South Wales Choral Union visited Marlborough Honse, by express desire of His Royal Highness the Prince of Wales.",His Royal Highness the Prince of Wales,person,(Q20875),country of citizenship,What is the country of citizenship of His Royal Highness the Prince of Wales?,United Kingdom of Great Britain and Ireland
; Rameau had the rare and perhaps unique privilege of being a great theoretician and also a great composer.,Rameau,person,(Q1145),country of citizenship,What is the country of citizenship of Rameau?,Kingdom of France
"It is an interesting feature of these concerts that the programme of the evening is devoted entirely to the works of one master, and on the occasion referred to C. M. von Weber ruled supreme with his “Jubel Cantata” and selections from his operas and pianoforte compositions.",C. M. von Weber,person,(Q154812),country of citizenship,What is the country of citizenship of C. M. von Weber?,Prince-Bishopric of Lübeck
Gloria in Excelsis (the entire movement) from Mozart's 12th Mass Fantasias: — t. Martha...,Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"_ Salieri, the composer, is so seriously indisposed, that great doubts are entertained of his recovery.",Salieri,person,(Q51088),country of citizenship,What is the country of citizenship of Salieri?,Republic of Venice; Austrian Empire
"kins remarks, with more liberality, that Tudway was studious in his profession, and left behind him, in a letter to his son, an account of the music and musicians of his time, containing ‘many very curious particulars, and some facts which, but for him, must have been buried in oblivion.",Tudway,person,(Q16704153),country of citizenship,What is the country of citizenship of Tudway?,Kingdom of Great Britain
"Immensely much has to be accomplished before English audiences can do that justice to his wondrous composition April, 1870, Mendelssohn..",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"The Sun on the Lake shines serene, composed by John Davy' 3.",John Davy,person,(Q11928224),country of citizenship,What is the country of citizenship of John Davy?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
Braham gives an impressive example to all young aspirants after fame in his conduct in the orchestra.,Braham,person,(Q5231664),country of citizenship,What is the country of citizenship of Braham?,United States
"The Rose and the Lil ly; Trio, by Sir Fohn Stevenson, Mus.",Sir Fohn Stevenson,person,(Q4442571),country of citizenship,What is the country of citizenship of Sir Fohn Stevenson?,Ireland
"Six Grand Symphonies, newly adapted for ihe Piano Forte, with an Accompaniment for the Flute, Violin, and Violoncello; by Muzio Clementi 2.",Muzio Clementi,person,(Q193673),country of citizenship,What is the country of citizenship of Muzio Clementi?,United Kingdom of Great Britain and Ireland
"re;plied the old man, overwhelmed with confusion ‘ey the presence of the Chapeltaster of his Majesty the Emperor,",his Majesty the Emperor,person,(Q76555),country of citizenship,What is the country of citizenship of his Majesty the Emperor?,Holy Roman Empire
We have always considered it as Cherubini's greatest orchestral work.,Cherubini,person,(Q20721),country of citizenship,What is the country of citizenship of Cherubini?,France; United Kingdom; Grand Duchy of Tuscany
"Overture to Tancredi, No. 1, of Rossini’s Overtures, arranged for Harp and Piano Forte, with, Accompaniments for Flute and Violoncello; by N.. C. Bochsa..",Rossini,person,(Q9726),country of citizenship,What is the country of citizenship of Rossini?,Papal States; Kingdom of Italy
"Overture to Tancredi, No. 1, of Rossini’s Overtures, arranged for Harp and Piano Forte, with, Accompaniments for Flute and Violoncello; by N.. C. Bochsa..",N .. C. Bochsa . .,person,(Q251397),country of citizenship,What is the country of citizenship of N .. C. Bochsa . .?,France
Eichner died at the beginning a of the year 1777.,Eichner,person,(Q473837),country of citizenship,What is the country of citizenship of Eichner?,Germany
Mr. Cramer’s name.is sufficient to ensure us that his part of the undertaking i is performed elegantly and appropriately.,Mr. Cramer,person,(Q455212),country of citizenship,What is the country of citizenship of Mr. Cramer?,United Kingdom of Great Britain and Ireland
"His - next drama was Angelica, of which the plot is taken from Ariosto.",Ariosto,person,(Q48900),country of citizenship,What is the country of citizenship of Ariosto?,
"Mehul's opera of Joseph and his Brethren, was lately given here, an opera that has now kept its place on the stage above fifteen years.",Mehul,person,(Q364020),country of citizenship,What is the country of citizenship of Mehul?,France
"and an extra sum of (we believe) ten guineas for the aid of Mr. Pixis, her accompanist.",Mr. Pixis,person,(Q571716),country of citizenship,What is the country of citizenship of Mr. Pixis?,Grand Duchy of Baden
Songs from Fairy Land; the Poetry by Thomas Haynes CONTENTS No. XXXIX.,Thomas Haynes,person,(Q7790528),country of citizenship,What is the country of citizenship of Thomas Haynes?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Possibly Haydn was holding himself in reserve for his finale; for No. 7, the chorus",Haydn,person,(Q7349),country of citizenship,What is the country of citizenship of Haydn?,Holy Roman Empire
"Clara Schumann seems to have died of age, and not of sickness.",Clara Schumann,person,(Q132232),country of citizenship,What is the country of citizenship of Clara Schumann?,Kingdom of Saxony
"The Impromptu is an attempt at a higher style of composition, in which Master Liszt has not suceeeded so well.",Master Liszt,person,(Q41309),country of citizenship,What is the country of citizenship of Master Liszt?,Austria-Hungary; Austrian Empire; Kingdom of Hungary
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Thomas Campbell,person,(Q1361189),country of citizenship,What is the country of citizenship of Thomas Campbell?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Lord Byron,person,(Q5679),country of citizenship,What is the country of citizenship of Lord Byron?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Ramsay,person,(Q654775),country of citizenship,What is the country of citizenship of Ramsay?,Scotland
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Hamilton,person,(Q18671568),country of citizenship,What is the country of citizenship of Hamilton?,
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Thomson,person,(Q5545192),country of citizenship,What is the country of citizenship of Thomson?,Scotland
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Smollett,person,(Q356283),country of citizenship,What is the country of citizenship of Smollett?,Kingdom of Great Britain
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Macneill,person,(Q5696799),country of citizenship,What is the country of citizenship of Macneill?,
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Hogg,person,(Q941810),country of citizenship,What is the country of citizenship of Hogg?,Kingdom of Great Britain
"Ebers takes the King’s Theatre, 187; Letters to Garcia, 191 Emdin’s Duet, 258: English and Italian Tone,",Ebers,person,(Q6231101),country of citizenship,What is the country of citizenship of Ebers?,
"M. Barriere has published four sets of quartets, and several Symphonies, concertos, trios, and duets.",M. Barriere,person,(Q726908),country of citizenship,What is the country of citizenship of M. Barriere?,Kingdom of France
"It was Mendelssohn’s birthday, and his friends combined to keep it with due festivity.",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"But te this day, Mendelssohn yet speaks — speaks by that beautiful life of which, thanks to volumes like the one here noticed, we are permitted to know so much.",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"Schumann came from the gymnasium to Leipzig in 1828, to study Jurisprudence",Schumann,person,(Q7351),country of citizenship,What is the country of citizenship of Schumann?,Kingdom of Saxony
it was accompanied ‘on the oboe (obligato) by N Mr. Parke..,Mr. Parke,person,(Q18757223),country of citizenship,What is the country of citizenship of Mr. Parke?,
"Philidor afterwards obtained permission to give this Concert Spirituel in the palace of the Tuileries, in the private theatre of which it continued to take place annually for many years.",Philidor,person,(Q362339),country of citizenship,What is the country of citizenship of Philidor?,France
"La Prisonniere, another comic opera in one act, of which Boieldieu had written the greater part, had a better fate: this work was plaved at the Theatre Montausier, on the 12th of September of the same year.",Boieldieu,person,(Q109875),country of citizenship,What is the country of citizenship of Boieldieu?,France
"Mr. Joseph Calkin made his debut in public very successfully, and sang a poor song by Mercadante with much energy and. taste.",Mercadante,person,(Q313980),country of citizenship,What is the country of citizenship of Mercadante?,Kingdom of Italy
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",M. Siismayer,person,(Q310518),country of citizenship,What is the country of citizenship of M. Siismayer?,Holy Roman Empire; Habsburg monarchy
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",Breitkopf,person,(Q55902416),country of citizenship,What is the country of citizenship of Breitkopf?,
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",Haertel,person,(Q1419801),country of citizenship,What is the country of citizenship of Haertel?,Kingdom of Saxony
We may now quit I Purcell and come » down toa period a little later.,Purcell,person,(Q9695),country of citizenship,What is the country of citizenship of Purcell?,Kingdom of England
"In October Adelina Patti will re - appear in Paris until December, and will then go for two months'td St. Petersburg, returning to the French capital to complete her engagementiat the Italian Opera House up to May, when Adelina Patti will again visit this country for the Royal Italian Opera season.",Adelina Patti,person,(Q234166),country of citizenship,What is the country of citizenship of Adelina Patti?,Spain; Kingdom of Italy
"In October Adelina Patti will re - appear in Paris until December, and will then go for two months'td St. Petersburg, returning to the French capital to complete her engagementiat the Italian Opera House up to May, when Adelina Patti will again visit this country for the Royal Italian Opera season.",Adelina Patti,person,(Q234166),country of citizenship,What is the country of citizenship of Adelina Patti?,Spain; Kingdom of Italy
"In the soirees of the Princess Belmonte Spinelli, which take place.",Princess Belmonte Spinelli,person,(Q23010905),country of citizenship,What is the country of citizenship of Princess Belmonte Spinelli?,Kingdom of Naples
