sentence,span,type,uri,relation,question,gold familyName
"The chairman was supported by Messrs. Clementi, J. B. Cramer, Braham and Moscheles.",Braham,person,(Q1699393),family name,What is the family name of Braham?,Braham
"The chairman was supported by Messrs. Clementi, J. B. Cramer, Braham and Moscheles.",Moscheles,person,(Q159551),family name,What is the family name of Moscheles?,Moscheles
"The principal new productions, besides Der Templer und die Jiidin, which particularly delighted the Jews, have been Die Fremde (La Straniera), of Bellini, Der Vampyr, of Marschner, and Zampa, of Herold.",Bellini,person,(Q170209),family name,What is the family name of Bellini?,Bellini
"The principal new productions, besides Der Templer und die Jiidin, which particularly delighted the Jews, have been Die Fremde (La Straniera), of Bellini, Der Vampyr, of Marschner, and Zampa, of Herold.",Marschner,person,(Q160063),family name,What is the family name of Marschner?,Marschner
"The principal new productions, besides Der Templer und die Jiidin, which particularly delighted the Jews, have been Die Fremde (La Straniera), of Bellini, Der Vampyr, of Marschner, and Zampa, of Herold.",Herold,person,(Q362639),family name,What is the family name of Herold?,Hérold
"(1 Movement, with Cadenza by Moscheles,) Quintet and 2d Piano Accompaniment,..” Miss Jennie H. Baxter.",Moscheles,person,(Q159551),family name,What is the family name of Moscheles?,Moscheles
"They have been well - set by Mr. Braham, who has ‘most appropriately introduced some of the most beautiful traits of Weber’s own melodies.",Mr. Braham,person,(Q1699393),family name,What is the family name of Mr. Braham?,Braham
"They have been well - set by Mr. Braham, who has ‘most appropriately introduced some of the most beautiful traits of Weber’s own melodies.",Weber,person,(Q154812),family name,What is the family name of Weber?,Weber
"and shall be fully rewarded if the connoisseur: shall find in my work any portion, however small, of the immortal genius of Mozart.",Mozart,person,(Q254),family name,What is the family name of Mozart?,Mozart
"Mr. De Beriot’s concerto had all his beautiful perfection — so smooth, so sweet, 80 brilliant, and in such exquisite taste.",Mr. De Beriot,person,(Q385217),family name,What is the family name of Mr. De Beriot?,
It reaches its perfection in that delicious art which Mozart may be said to have originated and perfected.,Mozart,person,(Q254),family name,What is the family name of Mozart?,Mozart
"part with his never - failing ability, and M. Tolbeeque led the band.",M. Tolbeeque,person,(Q2871419),family name,What is the family name of M. Tolbeeque?,Tolbecque
"Several of the compositions of Sir Henry Bishop were performed, and the whole gave unmitigated pleasure to the immense assemblage of amateurs.",Sir Henry Bishop,person,(Q1200639),family name,What is the family name of Sir Henry Bishop?,Bishop
"In the reign of Edward I., it again rose to eminence.",Edward I.,person,(Q57798),family name,What is the family name of Edward I.?,
"Mestrino published twelve concertos for his instrument, which contain extremely beautiful solos..",Mestrino,person,(Q1984708),family name,What is the family name of Mestrino?,
I can not thank you sufficiently for this splendid testimonial which you and other friends have just presented to me under this hospitable roof by the hands of Lord Dudley.,Lord Dudley,person,(Q8019995),family name,What is the family name of Lord Dudley?,Ward
"Cupis, the rival of Leclair, was considered as a very superior chamber violinist.",Cupis,person,(Q1684628),family name,What is the family name of Cupis?,de Camargo; de Cupis
"Cupis, the rival of Leclair, was considered as a very superior chamber violinist.",Leclair,person,(Q348875),family name,What is the family name of Leclair?,Leclair
"Anton Stradler, the clarinettist, for whom Mozart wrote his admirable quintet, was not ashamed to take unfair advantage of that generosity.",Anton Stradler,person,(Q78623),family name,What is the family name of Anton Stradler?,Stadler
"Anton Stradler, the clarinettist, for whom Mozart wrote his admirable quintet, was not ashamed to take unfair advantage of that generosity.",Mozart,person,(Q254),family name,What is the family name of Mozart?,Mozart
"Dr. Harington was greatly overcome by the scene, and could only exclaim, ‘She is an angel,’ as he left the room.",Dr. Harington,person,(Q18671401),family name,What is the family name of Dr. Harington?,
"Ramsay's poetry, therefore, declined in popularity, even in Scotland, as taste and delicacy advanced; and.",Ramsay,person,(Q654775),family name,What is the family name of Ramsay?,Ramsay
"A committee of London gentlemen have issued a proposal for the representation of a series of ancient “Italian operas, to be given under the direction of “Signer -Monari",Signer -Monari,person,(Q3680460),family name,What is the family name of Signer -Monari?,Q37432462
Sir Walter Scott appears in his usual energy and vigour.,Sir Walter Scott,person,(Q79025),family name,What is the family name of Sir Walter Scott?,Scott
"Gebauer Francois Réné was born at Veisailles, i in 1775.",Gebauer Francois Réné,person,(Q96558),family name,What is the family name of Gebauer Francois Réné?,Gebauer
"Three Grand Sonatas for the Piano F orte, composed by Charles Ambrose eoeesereeeceens ee 104 XVI.",Charles Ambrose,person,(Q5075106),family name,What is the family name of Charles Ambrose?,
"the Duke of Edinburgh publicly announced that there was no intention, in founding this Institution, of interfering with the operations of the Royal Academy of Music; and that many other speakers, including Sir Julius Benedict, expressed their intention of supporting the new school as an ally, and not as a rival, of the older one.",Duke of Edinburgh,person,(Q158143),family name,What is the family name of Duke of Edinburgh?,Coburg; Gotha; Sachsen
"the Duke of Edinburgh publicly announced that there was no intention, in founding this Institution, of interfering with the operations of the Royal Academy of Music; and that many other speakers, including Sir Julius Benedict, expressed their intention of supporting the new school as an ally, and not as a rival, of the older one.",Sir Julius Benedict,person,(Q510435),family name,What is the family name of Sir Julius Benedict?,Benedict
"The programme will contain a new piano - forte and violoncello sonata by Mendelssohn, to be performed by Bennett and Lucas.",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"The programme will contain a new piano - forte and violoncello sonata by Mendelssohn, to be performed by Bennett and Lucas.",Bennett,person,(Q201164),family name,What is the family name of Bennett?,Bennett
"The programme will contain a new piano - forte and violoncello sonata by Mendelssohn, to be performed by Bennett and Lucas.",Lucas,person,(Q5080372),family name,What is the family name of Lucas?,Lucas
"Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.",Sir J. Goss,person,(Q345870),family name,What is the family name of Sir J. Goss?,Goss
"Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.",C. Steggall,person,(Q5082654),family name,What is the family name of C. Steggall?,Steggall
who would insist upon the mountain's coming to Mahomet.,Mahomet,person,(Q9458),family name,What is the family name of Mahomet?,
"’s performance of the first Allegro and Andante of Rubinstein’s Violin Concerto in G, at the third concert, was in every respect admirable.",Rubinstein,person,(Q87567),family name,What is the family name of Rubinstein?,Rubinstein
"T he programme was divided into two parts, the first being exclusively devoted to sacred music, the main feature of which was a selection from Mendelssohn’s Elijah.",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"’s Pastoral Symphony in his Christmas Oratorio, and Handel’s piece of the same name in his Messiah,",Handel,person,(Q7302),family name,What is the family name of Handel?,Händel; Handel
"Wis Royal Highness the Duke of Cumberland, Thursday, March 4th, 1824.",Duke of Cumberland,person,(Q162302),family name,What is the family name of Duke of Cumberland?,
"Under the direction of His Grace the Archbishop of York, Wednesday, March 24th; 1824.",Archbishop of,person,(Q3048710),family name,What is the family name of Archbishop of?,
"Mr. H. W. George presided at the harmonium, and Mr. J. Lunn conducted.",Mr. J. Lunn,person,(Q16198956),family name,What is the family name of Mr. J. Lunn?,
The concert began with Auber’s pretty and sparkling overture to Les Diamans de la Cou-.,Auber,person,(Q157672),family name,What is the family name of Auber?,Auber
"The conversation turned upon Gnecco’s comic duet, which Malibran sang so frequently and charmingly with Lablache.",Gnecco,person,(Q1121021),family name,What is the family name of Gnecco?,Gnecco
"The conversation turned upon Gnecco’s comic duet, which Malibran sang so frequently and charmingly with Lablache.",Malibran,person,(Q232783),family name,What is the family name of Malibran?,García; Sitches
"The conversation turned upon Gnecco’s comic duet, which Malibran sang so frequently and charmingly with Lablache.",Lablache,person,(Q477681),family name,What is the family name of Lablache?,Q106264469
"Variations on a favourite Russian Air, by C. M. de Weber » Brilliant Polonaise for the Piano Forte, on the German Arietta,",C. M. de Weber,person,(Q154812),family name,What is the family name of C. M. de Weber?,Weber
"National Hymn, (with chorus), to celebrate the return of the Prince of Wales.",Prince of Wales,person,(Q20875),family name,What is the family name of Prince of Wales?,
Dr. Sponr attended a musical meeting of the Society of British Musicians this morning. — Particulars in our next.,Dr. Sponr,person,(Q57226),family name,What is the family name of Dr. Sponr?,Spohr
This pointing of the Canticles is authorised by His Grace the Archbishop of York.,His Grace the Archbishop,person,(Q377308),family name,What is the family name of His Grace the Archbishop?,Thomson
"We also heard a superb Magnificat i in A minor by L. Leo, which seemed to us worthy of the composer..",L. Leo,person,(Q316735),family name,What is the family name of L. Leo?,Leo
Mr. Kiallmark’s three pieces have much to recommend them.,Mr. Kiallmark,person,(Q18671297),family name,What is the family name of Mr. Kiallmark?,
"Suffice itto say that they are in Handel’s grandest manner, and that he never surpassed them, ‘even in his oratorios.",Handel,person,(Q7302),family name,What is the family name of Handel?,Händel; Handel
This was never heard of after the retreat of Mr. Waters to Calais.,Mr. Waters,person,(Q16859200),family name,What is the family name of Mr. Waters?,Waters
"For terms, apply to Mr. E. J. Bilton, Trinity College, Cambridge.",Mr. E. J. Bilton,person,(Q110966934),family name,What is the family name of Mr. E. J. Bilton?,
"[ i Crociato, 373 Mayseder’s Compositions, 360, 310 Mazurka, 236 Melographicon, 409 Mengozzi, 345 Mestrino, 40.",Mayseder,person,(Q672225),family name,What is the family name of Mayseder?,
"[ i Crociato, 373 Mayseder’s Compositions, 360, 310 Mazurka, 236 Melographicon, 409 Mengozzi, 345 Mestrino, 40.",Mestrino,person,(Q1984708),family name,What is the family name of Mestrino?,
"Fabio Constantini flourished about the year 1630, and ultimately became maestro at the chapel of Loretto.",Fabio Constantini,person,(Q3737659),family name,What is the family name of Fabio Constantini?,Costantini
"O great Beethoven, we brought to thee a worthy sacrifice!",Beethoven,person,(Q255),family name,What is the family name of Beethoven?,van Beethoven
"Book 8 opens witha composition in four parts, by Mr. Novello, of which the combined elegance and learning",Mr. Novello,person,(Q2526705),family name,What is the family name of Mr. Novello?,Novello
"Under the Direction of his Royal Highness the Duke of Cumberland, Wednesday, March 27, 1833.",Duke of Cumberland,person,(Q162302),family name,What is the family name of Duke of Cumberland?,
"M. Le- vassor will, moreover, sing two of his most popular chansonettes.",M. Le- vassor,person,(Q3385954),family name,What is the family name of M. Le- vassor?,Q56539235
"The Banks of Allan Water, arranged with an Introduction and Coda for the Piano Forte; by Cipriani Potter.",Cipriani Potter,person,(Q1092737),family name,What is the family name of Cipriani Potter?,Potter
"Mr. W. H.- Cummings, a most zealous musical antiquarian, as",W. H.- Cummings,person,(Q3827349),family name,What is the family name of W. H.- Cummings?,Cummings
This was the first of Rossini’s operas performed on anystage.,Rossini,person,(Q9726),family name,What is the family name of Rossini?,Rossini
This was the last great work of the immortal Handel.,Handel,person,(Q7302),family name,What is the family name of Handel?,Händel; Handel
"Quoniam tu sanctus solus,” from his last Mass for Eight Voices, arranged from the full score, by Vincent Novello, Re.",Vincent Novello,person,(Q2526705),family name,What is the family name of Vincent Novello?,Novello
"Three Easy Duets for Two Violoncellos, by F. W. Crouch -.... 254 XV.",F. W. Crouch,person,(Q5497599),family name,What is the family name of F. W. Crouch?,Crouch
Ebdon’s Magnificat and Nunc dimittis in C were admirably sung.,Ebdon,person,(Q3525084),family name,What is the family name of Ebdon?,
"In 1763 he composed a grand cantata for the chapel of Sonderhausen, which was performed at a féte on the birth - day of the Prince of Swartzburg.",Prince of Swartzburg,person,(Q832878),family name,What is the family name of Prince of Swartzburg?,
"He afterwards received further instructions from Saratelli, the predecessor of Galuppi;, as Chapel Master of St. Mark at Venice.",Saratelli,person,(Q1522112),family name,What is the family name of Saratelli?,
"He afterwards received further instructions from Saratelli, the predecessor of Galuppi;, as Chapel Master of St. Mark at Venice.",Galuppi,person,(Q208338),family name,What is the family name of Galuppi?,Galuppi
Mr. Manns deserves much credit for the introduction of this interesting composition.,Mr. Manns,person,(Q4820769),family name,What is the family name of Mr. Manns?,Manns
These extracts are from Sir John Malcolm’ s Memoir of Central India.,Sir John Malcolm,person,(Q1700959),family name,What is the family name of Sir John Malcolm?,Malcolm
"great degree to the stiff and scholastic epoch in which he lived, Rameau will always be placed in the first rank of French composers, because he was the most inventive.",Rameau,person,(Q1145),family name,What is the family name of Rameau?,Rameau
"Miss Rainforth, Mrs. A. Shaw, Mr. Bennett, and Mr. Phillips....",Miss Rainforth,person,(Q17355767),family name,What is the family name of Miss Rainforth?,Rainforth
"Composed and Dedicated to MISS DOLBY, BY FELIX MENDELLSOAN BARTHOLDY.",MISS DOLBY,person,(Q4164386),family name,What is the family name of MISS DOLBY?,Dolby; Sainton
"Composed and Dedicated to MISS DOLBY, BY FELIX MENDELLSOAN BARTHOLDY.",FELIX MENDELLSOAN BARTHOLDY,person,(Q46096),family name,What is the family name of FELIX MENDELLSOAN BARTHOLDY?,Mendelssohn; Bartholdy
"It is these melodies, combined with the lightness and elasticity of the composer, which bear up ‘the spirits of the. audience, and- render Rossini so powerful.",Rossini,person,(Q9726),family name,What is the family name of Rossini?,Rossini
"All this — in Mendelssohn’s case, a any rate — was",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Miss Paton,person,(Q16888398),family name,What is the family name of Miss Paton?,Wood; Paton; Lennox
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Madame Caradori Allan,person,(Q16065895),family name,What is the family name of Madame Caradori Allan?,
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Mademoiselle Brambilla,person,(Q3984276),family name,What is the family name of Mademoiselle Brambilla?,Brambilla
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Signor de Begnis,person,(Q3770409),family name,What is the family name of Signor de Begnis?,
"The principal instrumental piece was Mozart's Jupiter Symphony, which was rendered throughout with excellent effect.",Mozart,person,(Q254),family name,What is the family name of Mozart?,Mozart
"The two families appear to: lived in perfect union, for Mrs. Moscheles fe to a friend at the time,",Mrs. Moscheles,person,(Q159551),family name,What is the family name of Mrs. Moscheles?,Moscheles
"On the 14th ult the South Wales Choral Union visited Marlborough Honse, by express desire of His Royal Highness the Prince of Wales.",His Royal Highness the Prince of Wales,person,(Q20875),family name,What is the family name of His Royal Highness the Prince of Wales?,
; Rameau had the rare and perhaps unique privilege of being a great theoretician and also a great composer.,Rameau,person,(Q1145),family name,What is the family name of Rameau?,Rameau
"It is an interesting feature of these concerts that the programme of the evening is devoted entirely to the works of one master, and on the occasion referred to C. M. von Weber ruled supreme with his “Jubel Cantata” and selections from his operas and pianoforte compositions.",C. M. von Weber,person,(Q154812),family name,What is the family name of C. M. von Weber?,Weber
Gloria in Excelsis (the entire movement) from Mozart's 12th Mass Fantasias: — t. Martha...,Mozart,person,(Q254),family name,What is the family name of Mozart?,Mozart
"_ Salieri, the composer, is so seriously indisposed, that great doubts are entertained of his recovery.",Salieri,person,(Q51088),family name,What is the family name of Salieri?,Salieri
"kins remarks, with more liberality, that Tudway was studious in his profession, and left behind him, in a letter to his son, an account of the music and musicians of his time, containing ‘many very curious particulars, and some facts which, but for him, must have been buried in oblivion.",Tudway,person,(Q16704153),family name,What is the family name of Tudway?,Tudway
"Immensely much has to be accomplished before English audiences can do that justice to his wondrous composition April, 1870, Mendelssohn..",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"The Sun on the Lake shines serene, composed by John Davy' 3.",John Davy,person,(Q11928224),family name,What is the family name of John Davy?,Davy
Braham gives an impressive example to all young aspirants after fame in his conduct in the orchestra.,Braham,person,(Q5231664),family name,What is the family name of Braham?,Braham
"The Rose and the Lil ly; Trio, by Sir Fohn Stevenson, Mus.",Sir Fohn Stevenson,person,(Q4442571),family name,What is the family name of Sir Fohn Stevenson?,Stevenson
"Six Grand Symphonies, newly adapted for ihe Piano Forte, with an Accompaniment for the Flute, Violin, and Violoncello; by Muzio Clementi 2.",Muzio Clementi,person,(Q193673),family name,What is the family name of Muzio Clementi?,Clementi
"re;plied the old man, overwhelmed with confusion ‘ey the presence of the Chapeltaster of his Majesty the Emperor,",his Majesty the Emperor,person,(Q76555),family name,What is the family name of his Majesty the Emperor?,
We have always considered it as Cherubini's greatest orchestral work.,Cherubini,person,(Q20721),family name,What is the family name of Cherubini?,Q37104786
"Overture to Tancredi, No. 1, of Rossini’s Overtures, arranged for Harp and Piano Forte, with, Accompaniments for Flute and Violoncello; by N.. C. Bochsa..",Rossini,person,(Q9726),family name,What is the family name of Rossini?,Rossini
"Overture to Tancredi, No. 1, of Rossini’s Overtures, arranged for Harp and Piano Forte, with, Accompaniments for Flute and Violoncello; by N.. C. Bochsa..",N .. C. Bochsa . .,person,(Q251397),family name,What is the family name of N .. C. Bochsa . .?,Bochsa
Eichner died at the beginning a of the year 1777.,Eichner,person,(Q473837),family name,What is the family name of Eichner?,Eichner
Mr. Cramer’s name.is sufficient to ensure us that his part of the undertaking i is performed elegantly and appropriately.,Mr. Cramer,person,(Q455212),family name,What is the family name of Mr. Cramer?,Cramer
"His - next drama was Angelica, of which the plot is taken from Ariosto.",Ariosto,person,(Q48900),family name,What is the family name of Ariosto?,Ariosto
"Mehul's opera of Joseph and his Brethren, was lately given here, an opera that has now kept its place on the stage above fifteen years.",Mehul,person,(Q364020),family name,What is the family name of Mehul?,Q56546804
"and an extra sum of (we believe) ten guineas for the aid of Mr. Pixis, her accompanist.",Mr. Pixis,person,(Q571716),family name,What is the family name of Mr. Pixis?,Pixis
Songs from Fairy Land; the Poetry by Thomas Haynes CONTENTS No. XXXIX.,Thomas Haynes,person,(Q7790528),family name,What is the family name of Thomas Haynes?,Bayly
"Possibly Haydn was holding himself in reserve for his finale; for No. 7, the chorus",Haydn,person,(Q7349),family name,What is the family name of Haydn?,Q16276486
"Clara Schumann seems to have died of age, and not of sickness.",Clara Schumann,person,(Q132232),family name,What is the family name of Clara Schumann?,Schumann; Wieck
"The Impromptu is an attempt at a higher style of composition, in which Master Liszt has not suceeeded so well.",Master Liszt,person,(Q41309),family name,What is the family name of Master Liszt?,Liszt
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Thomas Campbell,person,(Q1361189),family name,What is the family name of Thomas Campbell?,Campbell
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Lord Byron,person,(Q5679),family name,What is the family name of Lord Byron?,Byron
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Ramsay,person,(Q654775),family name,What is the family name of Ramsay?,Ramsay
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Hamilton,person,(Q18671568),family name,What is the family name of Hamilton?,Hamilton
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Thomson,person,(Q5545192),family name,What is the family name of Thomson?,Thomson
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Smollett,person,(Q356283),family name,What is the family name of Smollett?,Smollett
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Macneill,person,(Q5696799),family name,What is the family name of Macneill?,MacNeill
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Hogg,person,(Q941810),family name,What is the family name of Hogg?,Hogg
"Ebers takes the King’s Theatre, 187; Letters to Garcia, 191 Emdin’s Duet, 258: English and Italian Tone,",Ebers,person,(Q6231101),family name,What is the family name of Ebers?,
"M. Barriere has published four sets of quartets, and several Symphonies, concertos, trios, and duets.",M. Barriere,person,(Q726908),family name,What is the family name of M. Barriere?,Barrière
"It was Mendelssohn’s birthday, and his friends combined to keep it with due festivity.",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"But te this day, Mendelssohn yet speaks — speaks by that beautiful life of which, thanks to volumes like the one here noticed, we are permitted to know so much.",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"Schumann came from the gymnasium to Leipzig in 1828, to study Jurisprudence",Schumann,person,(Q7351),family name,What is the family name of Schumann?,Schumann
it was accompanied ‘on the oboe (obligato) by N Mr. Parke..,Mr. Parke,person,(Q18757223),family name,What is the family name of Mr. Parke?,Parke
"Philidor afterwards obtained permission to give this Concert Spirituel in the palace of the Tuileries, in the private theatre of which it continued to take place annually for many years.",Philidor,person,(Q362339),family name,What is the family name of Philidor?,Philidor
"La Prisonniere, another comic opera in one act, of which Boieldieu had written the greater part, had a better fate: this work was plaved at the Theatre Montausier, on the 12th of September of the same year.",Boieldieu,person,(Q109875),family name,What is the family name of Boieldieu?,Boieldieu
"Mr. Joseph Calkin made his debut in public very successfully, and sang a poor song by Mercadante with much energy and. taste.",Mercadante,person,(Q313980),family name,What is the family name of Mercadante?,Mercadante
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",M. Siismayer,person,(Q310518),family name,What is the family name of M. Siismayer?,Süßmayr
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",Breitkopf,person,(Q55902416),family name,What is the family name of Breitkopf?,
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",Haertel,person,(Q1419801),family name,What is the family name of Haertel?,
We may now quit I Purcell and come » down toa period a little later.,Purcell,person,(Q9695),family name,What is the family name of Purcell?,Purcell
"In October Adelina Patti will re - appear in Paris until December, and will then go for two months'td St. Petersburg, returning to the French capital to complete her engagementiat the Italian Opera House up to May, when Adelina Patti will again visit this country for the Royal Italian Opera season.",Adelina Patti,person,(Q234166),family name,What is the family name of Adelina Patti?,Patti
"In October Adelina Patti will re - appear in Paris until December, and will then go for two months'td St. Petersburg, returning to the French capital to complete her engagementiat the Italian Opera House up to May, when Adelina Patti will again visit this country for the Royal Italian Opera season.",Adelina Patti,person,(Q234166),family name,What is the family name of Adelina Patti?,Patti
"In the soirees of the Princess Belmonte Spinelli, which take place.",Princess Belmonte Spinelli,person,(Q23010905),family name,What is the family name of Princess Belmonte Spinelli?,Spinelli
"Mr. Sims Reeves made a genuine hit in Arthur Sullivan’s song,",Mr. Sims Reeves,person,(Q7521239),family name,What is the family name of Mr. Sims Reeves?,Reeves
"Mr. Sims Reeves made a genuine hit in Arthur Sullivan’s song,",Arthur Sullivan,person,(Q212692),family name,What is the family name of Arthur Sullivan?,Sullivan
"Mr. Sams, St. James's Street; and at M. Jullien’s office, 3, Maddox Street, Bond Street.",M. Jullien,person,(Q660539),family name,What is the family name of M. Jullien?,Jullien
"Seven Years of the King’s Theatre, by J ohn Ebers, late Manager of the King’s Theatre in the Haymarket.",J ohn Ebers,person,(Q6231101),family name,What is the family name of J ohn Ebers?,
"We have had a French opera, at the head of which was M. ‘Nourrit, first tenor of the Academie Royale de Musique.",M. ‘ Nourrit,person,(Q634623),family name,What is the family name of M. ‘ Nourrit?,Nourrit
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Rubini,person,(Q941040),family name,What is the family name of Rubini?,Rubini
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Tamburini,person,(Q605376),family name,What is the family name of Tamburini?,Q37056382
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Lablache,person,(Q477681),family name,What is the family name of Lablache?,Q106264469
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Malibran,person,(Q232783),family name,What is the family name of Malibran?,García; Sitches
"adapted to the Airs, including upwards of ONE Hunprep Sones dy Burns.",Burns,person,(Q81960),family name,What is the family name of Burns?,Burns
"Spontini's Vestale has been repeated, and met with considerable applause.",Spontini,person,(Q168485),family name,What is the family name of Spontini?,
"At some concerts, at the Feydeau, i in 1794, he executed some concerted symphonies of Devienne’s Sy with M. Huguot, Frederic and Charles Duvernoy.",Charles Duvernoy,person,(Q1064184),family name,What is the family name of Charles Duvernoy?,
< < La voix de téte de Mademoiselle Pasta 2,Mademoiselle Pasta,person,(Q240963),family name,What is the family name of Mademoiselle Pasta?,Pasta
"The programme included some favourite songs, and Balfe’s duet",Balfe,person,(Q434171),family name,What is the family name of Balfe?,Balfe
"I composed these variations to a Theme which had already been varied by Paganini, I had no intention of publishing them.",Paganini,person,(Q66075),family name,What is the family name of Paganini?,Paganini
"Weber’s Concert Stiick tells a complete story of anxiety in absence, a knight’s return, his true love",Weber,person,(Q154812),family name,What is the family name of Weber?,Weber
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Arthur O’ Leary,person,(Q17984779),family name,What is the family name of Arthur O’ Leary?,O'Leary
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Brinley Richards,person,(Q4850963),family name,What is the family name of Brinley Richards?,Richards
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Frederick Westlake,person,(Q18546502),family name,What is the family name of Frederick Westlake?,
"In one of her most eloquent passages, Charlotte Bronté said: —",Charlotte Bronté,person,(Q127332),family name,What is the family name of Charlotte Bronté?,Bronte
"Schumann was giving concerts there in Dresden with Joachim, the great. violinist.",Schumann,person,(Q7351),family name,What is the family name of Schumann?,Schumann
"Schumann was giving concerts there in Dresden with Joachim, the great. violinist.",Joachim,person,(Q159976),family name,What is the family name of Joachim?,Joachim
Mr. Ebers here canvasses the question whether a committee is best calculated to manage a theatre?,Mr. Ebers,person,(Q6231101),family name,What is the family name of Mr. Ebers?,
"It is copied from the original, in the hand - writing of the composer, and which, if we are rightly informed, is now - in the possession- of M. Schlesinger, the wellknown music - seller, at Paris.",M. Schlesinger,person,(Q70457),family name,What is the family name of M. Schlesinger?,Schlesinger
This is the most important of Cimador’s Ss arrarigements.,Cimador,person,(Q3762403),family name,What is the family name of Cimador?,
"Antoine Barthelemi Bruni was born at Coni, in Piedmont, in 1752, and was a very distinguished violinist.",Antoine Barthelemi Bruni,person,(Q599823),family name,What is the family name of Antoine Barthelemi Bruni?,
Musical colouring has gained considerably by Rossini’s new operas.,Rossini,person,(Q9726),family name,What is the family name of Rossini?,Rossini
"— though it was excellently well performed by Phillips, Hill, and Severn.",Phillips,person,(Q18671452),family name,What is the family name of Phillips?,Phillips
