sentence,span,type,uri,relation,question,gold DoB
"On the 19th September, a concert was given by the pupils of the Conservatorio, in which several pieces of music composed by the pupils were performed: uamely, a terzett by M. Quaranta, a duett by M. Eroff, a quartett by M. Fontana, & c.",M. Fontana,person,(NIL),date of birth,What is the date of birth of M. Fontana?,
"Ina letter from Francis Fowke, Esq. to Sir W. Jones,",Francis Fowke,person,(NIL),date of birth,What is the date of birth of Francis Fowke?,
"Ina letter from Francis Fowke, Esq. to Sir W. Jones,",Sir W. Jones,person,(NIL),date of birth,What is the date of birth of Sir W. Jones?,
", Le Colporteur 34 Description of the Plectroeuphon, a new Instrument, invented by M. Gama..",M. Gama,person,(NIL),date of birth,What is the date of birth of M. Gama?,
"While we are upon this ‘theme, we can not avoid to notice a grand concert, given at the King’s Theatre, on Whitsun Eve, by Mr. Wm.",Mr. Wm .,person,(NIL),date of birth,What is the date of birth of Mr. Wm .?,
"[ i Crociato, 373 Mayseder’s Compositions, 360, 310 Mazurka, 236 Melographicon, 409 Mengozzi, 345 Mestrino, 40.",Mengozzi,person,(NIL),date of birth,What is the date of birth of Mengozzi?,
"The Organ can be seen any evening by appointment made by letter addressed to R. S. Jackson, Esq., Solicitor, 5, St. Benet - place, City.",R. S. Jackson,person,(NIL),date of birth,What is the date of birth of R. S. Jackson?,
"ty J. L. Peters, 843, Broadway, New York. ~ - Wednesday, March 2, 1876,",J. L. Peters,person,(NIL),date of birth,What is the date of birth of J. L. Peters?,
"Seguin possesses a very rich, deep base vo both fame and fortune.",Seguin,person,(NIL),date of birth,What is the date of birth of Seguin?,
"Some very interesting concerts have lately been given here, at which M. W. P. de C. Vrugt, from Amsterdam, and M. Lafont, particularly distinguished themselves.",M. W. P. de C. Vrugt,person,(NIL),date of birth,What is the date of birth of M. W. P. de C. Vrugt?,
"Some very interesting concerts have lately been given here, at which M. W. P. de C. Vrugt, from Amsterdam, and M. Lafont, particularly distinguished themselves.",M. Lafont,person,(NIL),date of birth,What is the date of birth of M. Lafont?,
"Steiner was in 1738 musician of the chamber to ihe King of Denmark, at Copenhagen.",Steiner,person,(NIL),date of birth,What is the date of birth of Steiner?,
"When I'speak in these terms, T allude of course to the.",T,person,(NIL),date of birth,What is the date of birth of T?,
"The Words selected and arranged from the Holy Scriptureg, Dedicated to his Friend, GEorGE Norsury, Esq.",GEorGE Norsury,person,(NIL),date of birth,What is the date of birth of GEorGE Norsury?,
"— - ies H. C. Sturton (late of St. Stephen's Mission Chapel, Lewisham), Morden College Chapel, Blackheath.",H. C. Sturton,person,(NIL),date of birth,What is the date of birth of H. C. Sturton?,
"Miss Rainforth, Mrs. A. Shaw, Mr. Bennett, and Mr. Phillips....",Mrs. A. Shaw,person,(NIL),date of birth,What is the date of birth of Mrs. A. Shaw?,
"Miss Rainforth, Mrs. A. Shaw, Mr. Bennett, and Mr. Phillips....",Mr. Bennett,person,(NIL),date of birth,What is the date of birth of Mr. Bennett?,
"Miss Rainforth, Mrs. A. Shaw, Mr. Bennett, and Mr. Phillips....",Mr. Phillips,person,(NIL),date of birth,What is the date of birth of Mr. Phillips?,
"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Agnes Robinson,person,(NIL),date of birth,What is the date of birth of Agnes Robinson?,
"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Mrs. Carmichael,person,(NIL),date of birth,What is the date of birth of Mrs. Carmichael?,
"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Messrs. Hobart,person,(NIL),date of birth,What is the date of birth of Messrs. Hobart?,
"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Peake,person,(NIL),date of birth,What is the date of birth of Peake?,
"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",C. J. Lenton,person,(NIL),date of birth,What is the date of birth of C. J. Lenton?,
"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",C. Wilson,person,(NIL),date of birth,What is the date of birth of C. Wilson?,
"The band performed several overtures, selections, & c., in a manner which reflected great credit on Mr. Waddington, the conductor.",Mr. Waddington,person,(NIL),date of birth,What is the date of birth of Mr. Waddington?,
"we found her at the piano, and Costa standing by her.",Costa,person,(NIL),date of birth,What is the date of birth of Costa?,
"A Pastoral Cantata, H written and composed by FREDERICK BaLpwin.",FREDERICK BaLpwin,person,(NIL),date of birth,What is the date of birth of FREDERICK BaLpwin?,
"The vocalists were Mrs. Barry, Miss Little and Mr. Thomas Acland.",Mrs. Barry,person,(NIL),date of birth,What is the date of birth of Mrs. Barry?,
"The vocalists were Mrs. Barry, Miss Little and Mr. Thomas Acland.",Miss Little,person,(NIL),date of birth,What is the date of birth of Miss Little?,
"The vocalists were Mrs. Barry, Miss Little and Mr. Thomas Acland.",Mr. Thomas Acland,person,(NIL),date of birth,What is the date of birth of Mr. Thomas Acland?,
"Grande Variazioni di Bravura on “O Cara Memoria,” by Jerome Paer:.",Jerome Paer,person,(NIL),date of birth,What is the date of birth of Jerome Paer?,
"Clifton’s Compositions, 258, 529 Coccia’s Ero, 224 ~.",Clifton,person,(NIL),date of birth,What is the date of birth of Clifton?,
"Clifton’s Compositions, 258, 529 Coccia’s Ero, 224 ~.",Coccia,person,(NIL),date of birth,What is the date of birth of Coccia?,
Gloria in Excelsis (the entire movement) from Mozart's 12th Mass Fantasias: — t. Martha...,Martha,person,(NIL),date of birth,What is the date of birth of Martha?,
"The solo singers were Mrs. Batchelor, Miss E. Thompson, Messrs. G. Eagleton, Hagan, F. O. Stevens, Wickes, and Master Moorley.",Mrs. Batchelor,person,(NIL),date of birth,What is the date of birth of Mrs. Batchelor?,
"The solo singers were Mrs. Batchelor, Miss E. Thompson, Messrs. G. Eagleton, Hagan, F. O. Stevens, Wickes, and Master Moorley.",Miss E. Thompson,person,(NIL),date of birth,What is the date of birth of Miss E. Thompson?,
"The solo singers were Mrs. Batchelor, Miss E. Thompson, Messrs. G. Eagleton, Hagan, F. O. Stevens, Wickes, and Master Moorley.",G. Eagleton,person,(NIL),date of birth,What is the date of birth of G. Eagleton?,
"The solo singers were Mrs. Batchelor, Miss E. Thompson, Messrs. G. Eagleton, Hagan, F. O. Stevens, Wickes, and Master Moorley.",Hagan,person,(NIL),date of birth,What is the date of birth of Hagan?,
"The solo singers were Mrs. Batchelor, Miss E. Thompson, Messrs. G. Eagleton, Hagan, F. O. Stevens, Wickes, and Master Moorley.",F. O. Stevens,person,(NIL),date of birth,What is the date of birth of F. O. Stevens?,
"The solo singers were Mrs. Batchelor, Miss E. Thompson, Messrs. G. Eagleton, Hagan, F. O. Stevens, Wickes, and Master Moorley.",Wickes,person,(NIL),date of birth,What is the date of birth of Wickes?,
"The solo singers were Mrs. Batchelor, Miss E. Thompson, Messrs. G. Eagleton, Hagan, F. O. Stevens, Wickes, and Master Moorley.",Master Moorley,person,(NIL),date of birth,What is the date of birth of Master Moorley?,
"For particulars apply | that the usual printed form may be duly forwarded. to G. Hargreaves, Knightley Grange, Eccleshall, Staffordshire.",G. Hargreaves,person,(NIL),date of birth,What is the date of birth of G. Hargreaves?,
"Mr. Wyke’s song, and the overtures to Zauberfiote and Massaniello, deserve praise.",Mr. Wyke,person,(NIL),date of birth,What is the date of birth of Mr. Wyke?,
"On the 15th February, M. Amme gave a concert here.",M. Amme,person,(NIL),date of birth,What is the date of birth of M. Amme?,
"letter of Richard Clarke to the Worshipful Company of Merchant Taylors, dedicating his work, entitled",Richard Clarke,person,(NIL),date of birth,What is the date of birth of Richard Clarke?,
"Walter j. kiey, Conductor of the Railway Clearing House Musical Society+. — —Mr.",Walter j. kiey,person,(NIL),date of birth,What is the date of birth of Walter j. kiey?,
Organ Recital was recently given in S. Peter’s Church by Dr. Spark.,Dr. Spark,person,(NIL),date of birth,What is the date of birth of Dr. Spark?,
"A new organ, with four manuals, has been ordered from Messrs. Lewis.",Messrs. Lewis,person,(NIL),date of birth,What is the date of birth of Messrs. Lewis?,
"+ The Wild Hyacinth, a Songs composed by J. F. Walmisley....",J. F. Walmisley,person,(NIL),date of birth,What is the date of birth of J. F. Walmisley?,
"Mr. J. Jones presided at the harmonium, and Mr. F. C. Watkins conducted.",Mr. J. Jones,person,(NIL),date of birth,What is the date of birth of Mr. J. Jones?,
"Mr. J. Jones presided at the harmonium, and Mr. F. C. Watkins conducted.",Mr. F. C. Watkins,person,(NIL),date of birth,What is the date of birth of Mr. F. C. Watkins?,
"He superintended the music of the Count de Clermont until his death, which took place in 1768.",Count de Clermont,person,(NIL),date of birth,What is the date of birth of Count de Clermont?,
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Skinner,person,(NIL),date of birth,What is the date of birth of Skinner?,
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Cunningham,person,(NIL),date of birth,What is the date of birth of Cunningham?,
"First appeared an Epithalamium, written at the request of the Countess of Althau, who likewise prevailed npon bim to write the drama Endymion.",Countess of Althau,person,(NIL),date of birth,What is the date of birth of Countess of Althau?,
"Mr. Joseph Calkin made his debut in public very successfully, and sang a poor song by Mercadante with much energy and. taste.",Mr. Joseph Calkin,person,(NIL),date of birth,What is the date of birth of Mr. Joseph Calkin?,
Young Pope enjoyed the confidence and “high esteem of his employcrs and associates...,Pope,person,(NIL),date of birth,What is the date of birth of Pope?,
"A native of Parma, ateighteen years of age ‘Jong was received into the Conservatory of Music of that town, where ‘Jong soon made himself.a name as the most promising pupil of the institution.",Jong,person,(NIL),date of birth,What is the date of birth of Jong?,
"A native of Parma, ateighteen years of age ‘Jong was received into the Conservatory of Music of that town, where ‘Jong soon made himself.a name as the most promising pupil of the institution.",Jong,person,(NIL),date of birth,What is the date of birth of Jong?,
"Mr. Sams, St. James's Street; and at M. Jullien’s office, 3, Maddox Street, Bond Street.",Mr. Sams,person,(NIL),date of birth,What is the date of birth of Mr. Sams?,
"Master Whitehouse, Mr. A. Marriott, Mr. Mellor, and Mr. O. Christian.",Master Whitehouse,person,(NIL),date of birth,What is the date of birth of Master Whitehouse?,
"Master Whitehouse, Mr. A. Marriott, Mr. Mellor, and Mr. O. Christian.",Mr. A. Marriott,person,(NIL),date of birth,What is the date of birth of Mr. A. Marriott?,
"Master Whitehouse, Mr. A. Marriott, Mr. Mellor, and Mr. O. Christian.",Mr. Mellor,person,(NIL),date of birth,What is the date of birth of Mr. Mellor?,
"Master Whitehouse, Mr. A. Marriott, Mr. Mellor, and Mr. O. Christian.",Mr. O.,person,(NIL),date of birth,What is the date of birth of Mr. O.?,
"Master Whitehouse, Mr. A. Marriott, Mr. Mellor, and Mr. O. Christian.",Christian,person,(NIL),date of birth,What is the date of birth of Christian?,
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Graziani,person,(NIL),date of birth,What is the date of birth of Graziani?,
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Mariano,person,(NIL),date of birth,What is the date of birth of Mariano?,
", E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,person,(NIL),date of birth,What is the date of birth of E. Carper?,
"At some concerts, at the Feydeau, i in 1794, he executed some concerted symphonies of Devienne’s Sy with M. Huguot, Frederic and Charles Duvernoy.",M. Huguot,person,(NIL),date of birth,What is the date of birth of M. Huguot?,
"At some concerts, at the Feydeau, i in 1794, he executed some concerted symphonies of Devienne’s Sy with M. Huguot, Frederic and Charles Duvernoy.",Frederic,person,(NIL),date of birth,What is the date of birth of Frederic?,
"the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan,",Mr. Carmichael,person,(NIL),date of birth,What is the date of birth of Mr. Carmichael?,
"the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan,",Madeline Roe,person,(NIL),date of birth,What is the date of birth of Madeline Roe?,
"the direction of Mr. Carmichael, on Thursday evening, January 27th, in aid of the Building Fund for The Soloists were Miss Madeline Roe, Miss Marie Ternan,",Miss Marie Ternan,person,(NIL),date of birth,What is the date of birth of Miss Marie Ternan?,
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",H. R. Eyers,person,(NIL),date of birth,What is the date of birth of H. R. Eyers?,
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Walter Fitton,person,(NIL),date of birth,What is the date of birth of Walter Fitton?,
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",S. Kemp,person,(NIL),date of birth,What is the date of birth of S. Kemp?,
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Harold Thomas,person,(NIL),date of birth,What is the date of birth of Harold Thomas?,
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",T. Wingham,person,(NIL),date of birth,What is the date of birth of T. Wingham?,
"St. Patrick’s: Cathedral, built and erected by Messrs. Telford and Telford, of Dublin, at a cost of about £ 1 400, was opened with every accompaniment of solemnity and splendour employed by the church to dignify and com memorate such occasions.",Telford,person,(NIL),date of birth,What is the date of birth of Telford?,
"St. Patrick’s: Cathedral, built and erected by Messrs. Telford and Telford, of Dublin, at a cost of about £ 1 400, was opened with every accompaniment of solemnity and splendour employed by the church to dignify and com memorate such occasions.",Telford,person,(NIL),date of birth,What is the date of birth of Telford?,
"C. Sydney Vinning, organist of Trinity Church and also of the Leamington College, gave an organ Recital at the former church on the 22nd ult.",C. Sydney Vinning,person,(NIL),date of birth,What is the date of birth of C. Sydney Vinning?,
"The tenors de Lucca, Valentini, Dario, and the basses Cirio and Guarino are considered the best.",de Lucca,person,(NIL),date of birth,What is the date of birth of de Lucca?,
"The tenors de Lucca, Valentini, Dario, and the basses Cirio and Guarino are considered the best.",Valentini,person,(NIL),date of birth,What is the date of birth of Valentini?,
"The tenors de Lucca, Valentini, Dario, and the basses Cirio and Guarino are considered the best.",Dario,person,(NIL),date of birth,What is the date of birth of Dario?,
"The tenors de Lucca, Valentini, Dario, and the basses Cirio and Guarino are considered the best.",Cirio,person,(NIL),date of birth,What is the date of birth of Cirio?,
"The tenors de Lucca, Valentini, Dario, and the basses Cirio and Guarino are considered the best.",Guarino,person,(NIL),date of birth,What is the date of birth of Guarino?,
"Signor Ganpini's concert took place on Monday, in the Hanover - square Rooms.",Signor Ganpini,person,(NIL),date of birth,What is the date of birth of Signor Ganpini?,
"— though it was excellently well performed by Phillips, Hill, and Severn.",Hill,person,(NIL),date of birth,What is the date of birth of Hill?,
"— though it was excellently well performed by Phillips, Hill, and Severn.",Severn,person,(NIL),date of birth,What is the date of birth of Severn?,
"Free for stamps from the Editor (bound, 36 stamps, edited by WitL1AM Ripcey, Organist of the Parish Church, paper, 24 stamps), West Derby, Liverpool.",WitL1AM Ripcey,person,(NIL),date of birth,What is the date of birth of WitL1AM Ripcey?,
"The principal singers were Miss Bristow, Master Whitehead, Mr. R. R. Ambler, and Mr. Ellis.",Miss Bristow,person,(NIL),date of birth,What is the date of birth of Miss Bristow?,
"The principal singers were Miss Bristow, Master Whitehead, Mr. R. R. Ambler, and Mr. Ellis.",Master Whitehead,person,(NIL),date of birth,What is the date of birth of Master Whitehead?,
"The principal singers were Miss Bristow, Master Whitehead, Mr. R. R. Ambler, and Mr. Ellis.",Mr. R. R. Ambler,person,(NIL),date of birth,What is the date of birth of Mr. R. R. Ambler?,
"The principal singers were Miss Bristow, Master Whitehead, Mr. R. R. Ambler, and Mr. Ellis.",Mr. Ellis,person,(NIL),date of birth,What is the date of birth of Mr. Ellis?,
"The agreeable Morroni, educated in the Florentine school of Sborgi",Morroni,person,(NIL),date of birth,What is the date of birth of Morroni?,
"The agreeable Morroni, educated in the Florentine school of Sborgi",Sborgi,person,(NIL),date of birth,What is the date of birth of Sborgi?,
"* Sento oh Dio” — Madame Ronzi de Begnis, Miss Stephens, Signor Garcia, Signor de Begnis, and Mr. oo Phillips",Signor Garcia,person,(NIL),date of birth,What is the date of birth of Signor Garcia?,
"* Sento oh Dio” — Madame Ronzi de Begnis, Miss Stephens, Signor Garcia, Signor de Begnis, and Mr. oo Phillips",Phillips,person,(NIL),date of birth,What is the date of birth of Phillips?,
"A Selection of French Melodies, with Symphonies and Accome ‘paniments, by W. Eavestaff 5",W. Eavestaff,person,(NIL),date of birth,What is the date of birth of W. Eavestaff?,
"The whole of the performance reflected great credit upon all concerned, and especially upon the organist, Mr. J. Barratt, and the conductor, Mr. Barraclough.",Mr. J. Barratt,person,(NIL),date of birth,What is the date of birth of Mr. J. Barratt?,
"The whole of the performance reflected great credit upon all concerned, and especially upon the organist, Mr. J. Barratt, and the conductor, Mr. Barraclough.",Mr. Barraclough,person,(NIL),date of birth,What is the date of birth of Mr. Barraclough?,
"name so Jong as Adelina Patti remains on the stage, which will be for two years more",Jong,person,(NIL),date of birth,What is the date of birth of Jong?,
"Bolero for One or Two Voices, composed, with -an Accompani‘ment for the Spanish Guitar, by P. Verini 3.",P. Verini,person,(NIL),date of birth,What is the date of birth of P. Verini?,
"Morley was leader of the band, Mr. Bentley, pianist, Mr. Housley, organist, and Mr. Kempton, conductor.",Morley,person,(NIL),date of birth,What is the date of birth of Morley?,
"Morley was leader of the band, Mr. Bentley, pianist, Mr. Housley, organist, and Mr. Kempton, conductor.",Mr. Bentley,person,(NIL),date of birth,What is the date of birth of Mr. Bentley?,
"Morley was leader of the band, Mr. Bentley, pianist, Mr. Housley, organist, and Mr. Kempton, conductor.",Mr. Housley,person,(NIL),date of birth,What is the date of birth of Mr. Housley?,
"Morley was leader of the band, Mr. Bentley, pianist, Mr. Housley, organist, and Mr. Kempton, conductor.",Mr. Kempton,person,(NIL),date of birth,What is the date of birth of Mr. Kempton?,
"The band (ably led by Mr. Seymour, of Manchester) and chorus numbered about 100 performers.",Mr. Seymour,person,(NIL),date of birth,What is the date of birth of Mr. Seymour?,
"B., Oxon.; W. J. Jennings, B.A.; T. C. Hatton, B.A. & c.",B.,person,(NIL),date of birth,What is the date of birth of B.?,
"B., Oxon.; W. J. Jennings, B.A.; T. C. Hatton, B.A. & c.",Oxon,person,(NIL),date of birth,What is the date of birth of Oxon?,
"B., Oxon.; W. J. Jennings, B.A.; T. C. Hatton, B.A. & c.",W. J. Jennings,person,(NIL),date of birth,What is the date of birth of W. J. Jennings?,
"B., Oxon.; W. J. Jennings, B.A.; T. C. Hatton, B.A. & c.",T. C. Hatton,person,(NIL),date of birth,What is the date of birth of T. C. Hatton?,
"C. Gregory, Organist f Choirmaster to St. Paul's Church, Bethnal Green. — —Mr.",C. Gregory,person,(NIL),date of birth,What is the date of birth of C. Gregory?,
"In a brief dedication of the first of these to' a most excelJent musician and amiable man, Mr. Taylor has: called it",Mr. Taylor,person,(NIL),date of birth,What is the date of birth of Mr. Taylor?,
":: 7 Retzel Antoine was born at Brunswick, in 1794, where his father occupied.",Retzel Antoine,person,(NIL),date of birth,What is the date of birth of Retzel Antoine?,
"Miss Groom, Miss Flower, and Miss Cubitt; Mr. White, Mr. Giubilei, and Mr. John Parry.",Miss Groom,person,(NIL),date of birth,What is the date of birth of Miss Groom?,
"Miss Groom, Miss Flower, and Miss Cubitt; Mr. White, Mr. Giubilei, and Mr. John Parry.",Miss Flower,person,(NIL),date of birth,What is the date of birth of Miss Flower?,
"Miss Groom, Miss Flower, and Miss Cubitt; Mr. White, Mr. Giubilei, and Mr. John Parry.",Miss Cubitt,person,(NIL),date of birth,What is the date of birth of Miss Cubitt?,
"Miss Groom, Miss Flower, and Miss Cubitt; Mr. White, Mr. Giubilei, and Mr. John Parry.",Mr. White,person,(NIL),date of birth,What is the date of birth of Mr. White?,
"Miss Groom, Miss Flower, and Miss Cubitt; Mr. White, Mr. Giubilei, and Mr. John Parry.",Mr. Giubilei,person,(NIL),date of birth,What is the date of birth of Mr. Giubilei?,
"Mr. Henry Aldridge, the leader of the Philharmonic Concerts, presided at the pianoforte with great steadiness.",Mr. Henry Aldridge,person,(NIL),date of birth,What is the date of birth of Mr. Henry Aldridge?,
"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Louisa A. Turner,person,(NIL),date of birth,What is the date of birth of Louisa A. Turner?,
"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Jane Whitaker,person,(NIL),date of birth,What is the date of birth of Jane Whitaker?,
"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Constance Sarper,person,(NIL),date of birth,What is the date of birth of Constance Sarper?,
"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Annie Bradley,person,(NIL),date of birth,What is the date of birth of Annie Bradley?,
"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Elizabeth L. Rothwell,person,(NIL),date of birth,What is the date of birth of Elizabeth L. Rothwell?,
"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Marion ‘ Greon,person,(NIL),date of birth,What is the date of birth of Marion ‘ Greon?,
"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Fanny Boxell,person,(NIL),date of birth,What is the date of birth of Fanny Boxell?,
"The direction is committed to Sgatelli, the most celebrated of the Roman musici.",Sgatelli,person,(NIL),date of birth,What is the date of birth of Sgatelli?,
"‘Mz. Pezzella,' the pupil of the Padrr Sabbatini, and the son of the celebrated composer of the same name, guided by the best principles drawn from the sources of literature and art, combines with an immense knowledge of mathematics, profound study in the theory of music.",Mz . Pezzella,person,(NIL),date of birth,What is the date of birth of Mz . Pezzella?,
"‘Mz. Pezzella,' the pupil of the Padrr Sabbatini, and the son of the celebrated composer of the same name, guided by the best principles drawn from the sources of literature and art, combines with an immense knowledge of mathematics, profound study in the theory of music.",Padrr Sabbatini,person,(NIL),date of birth,What is the date of birth of Padrr Sabbatini?,
"The soloists were Mrs. A. J. Sutton (in place of Madame Brooke, absent through illness), Miss Julia Jones, Miss Taylor, Mr. Bywater, and Mr. W. H. Phillips...",Mrs. A. J. Sutton,person,(NIL),date of birth,What is the date of birth of Mrs. A. J. Sutton?,
"The soloists were Mrs. A. J. Sutton (in place of Madame Brooke, absent through illness), Miss Julia Jones, Miss Taylor, Mr. Bywater, and Mr. W. H. Phillips...",Madame Brooke,person,(NIL),date of birth,What is the date of birth of Madame Brooke?,
"The soloists were Mrs. A. J. Sutton (in place of Madame Brooke, absent through illness), Miss Julia Jones, Miss Taylor, Mr. Bywater, and Mr. W. H. Phillips...",Miss Julia Jones,person,(NIL),date of birth,What is the date of birth of Miss Julia Jones?,
"The soloists were Mrs. A. J. Sutton (in place of Madame Brooke, absent through illness), Miss Julia Jones, Miss Taylor, Mr. Bywater, and Mr. W. H. Phillips...",Miss Taylor,person,(NIL),date of birth,What is the date of birth of Miss Taylor?,
"The soloists were Mrs. A. J. Sutton (in place of Madame Brooke, absent through illness), Miss Julia Jones, Miss Taylor, Mr. Bywater, and Mr. W. H. Phillips...",Mr. Bywater,person,(NIL),date of birth,What is the date of birth of Mr. Bywater?,
"The soloists were Mrs. A. J. Sutton (in place of Madame Brooke, absent through illness), Miss Julia Jones, Miss Taylor, Mr. Bywater, and Mr. W. H. Phillips...",Mr. W. H. Phillips,person,(NIL),date of birth,What is the date of birth of Mr. W. H. Phillips?,
"Haranc composed a good deal of instrumental music, which has never been.published.",Haranc,person,(NIL),date of birth,What is the date of birth of Haranc?,
"-Set to music composed by James Fitzgerald, Organist of St. George’s Parish Church, Kidderminster.",James Fitzgerald,person,(NIL),date of birth,What is the date of birth of James Fitzgerald?,
"“Scenes of horror, ’’ where Storge is terrified at the future.",Storge,person,(NIL),date of birth,What is the date of birth of Storge?,
"It will be forwarded, on receipt of a Post - Office order, by the Publisher, 10, Wellington - street, Strand; Mr. Joseph Thomas, 1, Finch - line, Cornhill; M. W. Seguin, 45, Duke - street, St. James’-square, or any Bookseller or News Agent in the United Kingdom.",Mr. Joseph Thomas,person,(NIL),date of birth,What is the date of birth of Mr. Joseph Thomas?,
"It will be forwarded, on receipt of a Post - Office order, by the Publisher, 10, Wellington - street, Strand; Mr. Joseph Thomas, 1, Finch - line, Cornhill; M. W. Seguin, 45, Duke - street, St. James’-square, or any Bookseller or News Agent in the United Kingdom.",M. W. Seguin,person,(NIL),date of birth,What is the date of birth of M. W. Seguin?,
No doubt Mr. Fitzgerald has been induced to undertake this task by the exigencies of his immediate surroundings.,Mr. Fitzgerald,person,(NIL),date of birth,What is the date of birth of Mr. Fitzgerald?,
"For Festival Anthems apply for Catalogue, and address Dr. Fowle, 1, Eastgate, Winchester.",Dr. Fowle,person,(NIL),date of birth,What is the date of birth of Dr. Fowle?,
"Miss Sterling, a young Jady not more than 17 years of age, a pupil of Mr. Neate, played Mr. Moscheles’ fantasia on. the air, “du clair de la lune,” with such uncommon brilliancy of finger and excellence of style as to do equal honour to her own industry, and to the care even of so fine a master as Mr. Neate.",Miss Sterling,person,(NIL),date of birth,What is the date of birth of Miss Sterling?,
"The connecting link between Mozart the dramatic composer, and Mozart in his Masses, was « Mr. Frank Novello, formerly prompter at the Opera in the palmy days of Taylor’s management, and also principal bass at the Portuguese Ambassador's Chapel in South - street, Grosvenor - square, where his brother was organist.",Mr. Frank Novello,person,(NIL),date of birth,What is the date of birth of Mr. Frank Novello?,
"The connecting link between Mozart the dramatic composer, and Mozart in his Masses, was « Mr. Frank Novello, formerly prompter at the Opera in the palmy days of Taylor’s management, and also principal bass at the Portuguese Ambassador's Chapel in South - street, Grosvenor - square, where his brother was organist.",Taylor,person,(NIL),date of birth,What is the date of birth of Taylor?,
"The rumour that the Church Choral Society will not sing this season has received recent confirmation, and this, if true, will leave the field in New York for choruses of moderate size open to the Musical Art Society (under Mr. Frank Damrosch), the New York Musical Society (under Mr. Dossert), and the new Harlem Oratorio Society.",Mr. Dossert,person,(NIL),date of birth,What is the date of birth of Mr. Dossert?,
"La Clemenza di Tito was the first, in which‘a French lady, under the riame of Signora Clarini, took the part of Servilia, and a Madame’ Graziani filled the character ef Annio, both of which were massacred in their hands, and the whole opera necessarily partook in the - ruin.",Signora Clarini,person,(NIL),date of birth,What is the date of birth of Signora Clarini?,
