sentence,span,type,uri,relation,question,gold occupation
This was never heard of after the retreat of Mr. Waters to Calais.,Mr. Waters,person,(Q16859200),occupation,What is the occupation of Mr. Waters?,military leader
"For terms, apply to Mr. E. J. Bilton, Trinity College, Cambridge.",Mr. E. J. Bilton,person,(Q110966934),occupation,What is the occupation of Mr. E. J. Bilton?,clerk; cricketer
"[ i Crociato, 373 Mayseder’s Compositions, 360, 310 Mazurka, 236 Melographicon, 409 Mengozzi, 345 Mestrino, 40.",Mayseder,person,(Q672225),occupation,What is the occupation of Mayseder?,composer; violinist
"[ i Crociato, 373 Mayseder’s Compositions, 360, 310 Mazurka, 236 Melographicon, 409 Mengozzi, 345 Mestrino, 40.",Mestrino,person,(Q1984708),occupation,What is the occupation of Mestrino?,composer
"Fabio Constantini flourished about the year 1630, and ultimately became maestro at the chapel of Loretto.",Fabio Constantini,person,(Q3737659),occupation,What is the occupation of Fabio Constantini?,composer; cantor
"O great Beethoven, we brought to thee a worthy sacrifice!",Beethoven,person,(Q255),occupation,What is the occupation of Beethoven?,composer
"Book 8 opens witha composition in four parts, by Mr. Novello, of which the combined elegance and learning",Mr. Novello,person,(Q2526705),occupation,What is the occupation of Mr. Novello?,composer; conductor; music publisher; organist; publisher
"Under the Direction of his Royal Highness the Duke of Cumberland, Wednesday, March 27, 1833.",Duke of Cumberland,person,(Q162302),occupation,What is the occupation of Duke of Cumberland?,military personnel; politician
"M. Le- vassor will, moreover, sing two of his most popular chansonettes.",M. Le- vassor,person,(Q3385954),occupation,What is the occupation of M. Le- vassor?,actor; comedian
"The Banks of Allan Water, arranged with an Introduction and Coda for the Piano Forte; by Cipriani Potter.",Cipriani Potter,person,(Q1092737),occupation,What is the occupation of Cipriani Potter?,composer; pianist; music educator
"Mr. W. H.- Cummings, a most zealous musical antiquarian, as",W. H.- Cummings,person,(Q3827349),occupation,What is the occupation of W. H.- Cummings?,composer; singer; musician; organist; musicologist; music educator
This was the first of Rossini’s operas performed on anystage.,Rossini,person,(Q9726),occupation,What is the occupation of Rossini?,composer
This was the last great work of the immortal Handel.,Handel,person,(Q7302),occupation,What is the occupation of Handel?,composer; organist; impresario; violinist; university teacher; harpsichordist; opera composer
"Quoniam tu sanctus solus,” from his last Mass for Eight Voices, arranged from the full score, by Vincent Novello, Re.",Vincent Novello,person,(Q2526705),occupation,What is the occupation of Vincent Novello?,composer; conductor; music publisher; organist; publisher
"Three Easy Duets for Two Violoncellos, by F. W. Crouch -.... 254 XV.",F. W. Crouch,person,(Q5497599),occupation,What is the occupation of F. W. Crouch?,composer
Ebdon’s Magnificat and Nunc dimittis in C were admirably sung.,Ebdon,person,(Q3525084),occupation,What is the occupation of Ebdon?,composer; organist
"In 1763 he composed a grand cantata for the chapel of Sonderhausen, which was performed at a féte on the birth - day of the Prince of Swartzburg.",Prince of Swartzburg,person,(Q832878),occupation,What is the occupation of Prince of Swartzburg?,
"He afterwards received further instructions from Saratelli, the predecessor of Galuppi;, as Chapel Master of St. Mark at Venice.",Saratelli,person,(Q1522112),occupation,What is the occupation of Saratelli?,composer
"He afterwards received further instructions from Saratelli, the predecessor of Galuppi;, as Chapel Master of St. Mark at Venice.",Galuppi,person,(Q208338),occupation,What is the occupation of Galuppi?,composer; conductor; organist
Mr. Manns deserves much credit for the introduction of this interesting composition.,Mr. Manns,person,(Q4820769),occupation,What is the occupation of Mr. Manns?,composer; conductor; chapelmaster; violinist
These extracts are from Sir John Malcolm’ s Memoir of Central India.,Sir John Malcolm,person,(Q1700959),occupation,What is the occupation of Sir John Malcolm?,writer; politician; historian
"great degree to the stiff and scholastic epoch in which he lived, Rameau will always be placed in the first rank of French composers, because he was the most inventive.",Rameau,person,(Q1145),occupation,What is the occupation of Rameau?,composer; organist; choreographer; harpsichordist; musicologist; music theorist; theorist
"Miss Rainforth, Mrs. A. Shaw, Mr. Bennett, and Mr. Phillips....",Miss Rainforth,person,(Q17355767),occupation,What is the occupation of Miss Rainforth?,opera singer
"Composed and Dedicated to MISS DOLBY, BY FELIX MENDELLSOAN BARTHOLDY.",MISS DOLBY,person,(Q4164386),occupation,What is the occupation of MISS DOLBY?,composer; opera singer; music educator
"Composed and Dedicated to MISS DOLBY, BY FELIX MENDELLSOAN BARTHOLDY.",FELIX MENDELLSOAN BARTHOLDY,person,(Q46096),occupation,What is the occupation of FELIX MENDELLSOAN BARTHOLDY?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"It is these melodies, combined with the lightness and elasticity of the composer, which bear up ‘the spirits of the. audience, and- render Rossini so powerful.",Rossini,person,(Q9726),occupation,What is the occupation of Rossini?,composer
"All this — in Mendelssohn’s case, a any rate — was",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Miss Paton,person,(Q16888398),occupation,What is the occupation of Miss Paton?,singer; vocalist; opera singer
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Madame Caradori Allan,person,(Q16065895),occupation,What is the occupation of Madame Caradori Allan?,opera singer
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Mademoiselle Brambilla,person,(Q3984276),occupation,What is the occupation of Mademoiselle Brambilla?,opera singer
"Subsequently, in consequence of Miss Paton’s illness, Madame Caradori Allan, Mademoiselle Brambilla, and Signor de Begnis.",Signor de Begnis,person,(Q3770409),occupation,What is the occupation of Signor de Begnis?,singer; opera singer
"The principal instrumental piece was Mozart's Jupiter Symphony, which was rendered throughout with excellent effect.",Mozart,person,(Q254),occupation,What is the occupation of Mozart?,composer; pianist; musician; organist; violinist; music educator
"The two families appear to: lived in perfect union, for Mrs. Moscheles fe to a friend at the time,",Mrs. Moscheles,person,(Q159551),occupation,What is the occupation of Mrs. Moscheles?,composer; conductor; pianist; pedagogue; violinist; university teacher; musicologist; music educator; diarist
"On the 14th ult the South Wales Choral Union visited Marlborough Honse, by express desire of His Royal Highness the Prince of Wales.",His Royal Highness the Prince of Wales,person,(Q20875),occupation,What is the occupation of His Royal Highness the Prince of Wales?,monarch; politician; aristocrat; art collector
; Rameau had the rare and perhaps unique privilege of being a great theoretician and also a great composer.,Rameau,person,(Q1145),occupation,What is the occupation of Rameau?,composer; organist; choreographer; harpsichordist; musicologist; music theorist; theorist
"It is an interesting feature of these concerts that the programme of the evening is devoted entirely to the works of one master, and on the occasion referred to C. M. von Weber ruled supreme with his “Jubel Cantata” and selections from his operas and pianoforte compositions.",C. M. von Weber,person,(Q154812),occupation,What is the occupation of C. M. von Weber?,composer; conductor; pianist; guitarist; music critic; classical guitarist
Gloria in Excelsis (the entire movement) from Mozart's 12th Mass Fantasias: — t. Martha...,Mozart,person,(Q254),occupation,What is the occupation of Mozart?,composer; pianist; musician; organist; violinist; music educator
"_ Salieri, the composer, is so seriously indisposed, that great doubts are entertained of his recovery.",Salieri,person,(Q51088),occupation,What is the occupation of Salieri?,composer; conductor; musicologist; music educator
"kins remarks, with more liberality, that Tudway was studious in his profession, and left behind him, in a letter to his son, an account of the music and musicians of his time, containing ‘many very curious particulars, and some facts which, but for him, must have been buried in oblivion.",Tudway,person,(Q16704153),occupation,What is the occupation of Tudway?,composer
"Immensely much has to be accomplished before English audiences can do that justice to his wondrous composition April, 1870, Mendelssohn..",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"The Sun on the Lake shines serene, composed by John Davy' 3.",John Davy,person,(Q11928224),occupation,What is the occupation of John Davy?,composer
Braham gives an impressive example to all young aspirants after fame in his conduct in the orchestra.,Braham,person,(Q5231664),occupation,What is the occupation of Braham?,composer; violinist
"The Rose and the Lil ly; Trio, by Sir Fohn Stevenson, Mus.",Sir Fohn Stevenson,person,(Q4442571),occupation,What is the occupation of Sir Fohn Stevenson?,composer
"Six Grand Symphonies, newly adapted for ihe Piano Forte, with an Accompaniment for the Flute, Violin, and Violoncello; by Muzio Clementi 2.",Muzio Clementi,person,(Q193673),occupation,What is the occupation of Muzio Clementi?,composer; conductor; music publisher; pianist; musicologist; music educator
"re;plied the old man, overwhelmed with confusion ‘ey the presence of the Chapeltaster of his Majesty the Emperor,",his Majesty the Emperor,person,(Q76555),occupation,What is the occupation of his Majesty the Emperor?,monarch; military leader
We have always considered it as Cherubini's greatest orchestral work.,Cherubini,person,(Q20721),occupation,What is the occupation of Cherubini?,composer; conductor; musicologist; music theorist; music educator
"Overture to Tancredi, No. 1, of Rossini’s Overtures, arranged for Harp and Piano Forte, with, Accompaniments for Flute and Violoncello; by N.. C. Bochsa..",Rossini,person,(Q9726),occupation,What is the occupation of Rossini?,composer
"Overture to Tancredi, No. 1, of Rossini’s Overtures, arranged for Harp and Piano Forte, with, Accompaniments for Flute and Violoncello; by N.. C. Bochsa..",N .. C. Bochsa . .,person,(Q251397),occupation,What is the occupation of N .. C. Bochsa . .?,composer; conductor; choreographer; harpist; musicologist; music educator
Eichner died at the beginning a of the year 1777.,Eichner,person,(Q473837),occupation,What is the occupation of Eichner?,composer
Mr. Cramer’s name.is sufficient to ensure us that his part of the undertaking i is performed elegantly and appropriately.,Mr. Cramer,person,(Q455212),occupation,What is the occupation of Mr. Cramer?,composer; businessperson; pianist; publisher
"His - next drama was Angelica, of which the plot is taken from Ariosto.",Ariosto,person,(Q48900),occupation,What is the occupation of Ariosto?,poet; playwright
"Mehul's opera of Joseph and his Brethren, was lately given here, an opera that has now kept its place on the stage above fifteen years.",Mehul,person,(Q364020),occupation,What is the occupation of Mehul?,composer; organist
"and an extra sum of (we believe) ten guineas for the aid of Mr. Pixis, her accompanist.",Mr. Pixis,person,(Q571716),occupation,What is the occupation of Mr. Pixis?,composer; pianist
Songs from Fairy Land; the Poetry by Thomas Haynes CONTENTS No. XXXIX.,Thomas Haynes,person,(Q7790528),occupation,What is the occupation of Thomas Haynes?,writer; poet; playwright; songwriter
"Possibly Haydn was holding himself in reserve for his finale; for No. 7, the chorus",Haydn,person,(Q7349),occupation,What is the occupation of Haydn?,composer; conductor; pianist; musicologist
"Clara Schumann seems to have died of age, and not of sickness.",Clara Schumann,person,(Q132232),occupation,What is the occupation of Clara Schumann?,composer; pianist; music educator
"The Impromptu is an attempt at a higher style of composition, in which Master Liszt has not suceeeded so well.",Master Liszt,person,(Q41309),occupation,What is the occupation of Master Liszt?,writer; composer; conductor; virtuoso; Catholic priest; pianist; music educator; classical composer
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Thomas Campbell,person,(Q1361189),occupation,What is the occupation of Thomas Campbell?,writer; poet; journalist; musicologist
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Lord Byron,person,(Q5679),occupation,What is the occupation of Lord Byron?,writer; military personnel; poet; politician; playwright; translator; lyricist; aristocrat; librettist; autobiographer; diarist; philhellene
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Ramsay,person,(Q654775),occupation,What is the occupation of Ramsay?,writer; poet; librarian; librettist
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Hamilton,person,(Q18671568),occupation,What is the occupation of Hamilton?,translator; musician
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Thomson,person,(Q5545192),occupation,What is the occupation of Thomson?,musicologist
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Smollett,person,(Q356283),occupation,What is the occupation of Smollett?,writer; poet; historian; translator; physician writer; surgeon; journalist; novelist
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Macneill,person,(Q5696799),occupation,What is the occupation of Macneill?,writer; poet
"The work is also graced with several of the elegant songs of Thomas Campbell, and Lord Byron; and it contains the best songs of the olden time, and of Ramsay, Hamilton; Thomson, Smollett, Skinner, Macneill, Hogg, Cunningham, and many others.",Hogg,person,(Q941810),occupation,What is the occupation of Hogg?,writer; poet; songwriter; biographer; novelist
"Ebers takes the King’s Theatre, 187; Letters to Garcia, 191 Emdin’s Duet, 258: English and Italian Tone,",Ebers,person,(Q6231101),occupation,What is the occupation of Ebers?,businessperson; bookseller
"M. Barriere has published four sets of quartets, and several Symphonies, concertos, trios, and duets.",M. Barriere,person,(Q726908),occupation,What is the occupation of M. Barriere?,composer; cellist
"It was Mendelssohn’s birthday, and his friends combined to keep it with due festivity.",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"But te this day, Mendelssohn yet speaks — speaks by that beautiful life of which, thanks to volumes like the one here noticed, we are permitted to know so much.",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"Schumann came from the gymnasium to Leipzig in 1828, to study Jurisprudence",Schumann,person,(Q7351),occupation,What is the occupation of Schumann?,writer; composer; conductor; pianist; music critic; musicologist; music educator
it was accompanied ‘on the oboe (obligato) by N Mr. Parke..,Mr. Parke,person,(Q18757223),occupation,What is the occupation of Mr. Parke?,composer; oboist
"Philidor afterwards obtained permission to give this Concert Spirituel in the palace of the Tuileries, in the private theatre of which it continued to take place annually for many years.",Philidor,person,(Q362339),occupation,What is the occupation of Philidor?,composer; librarian; oboist; music archivist
"La Prisonniere, another comic opera in one act, of which Boieldieu had written the greater part, had a better fate: this work was plaved at the Theatre Montausier, on the 12th of September of the same year.",Boieldieu,person,(Q109875),occupation,What is the occupation of Boieldieu?,composer; conductor; university teacher; musicologist; music educator; opera composer
"Mr. Joseph Calkin made his debut in public very successfully, and sang a poor song by Mercadante with much energy and. taste.",Mercadante,person,(Q313980),occupation,What is the occupation of Mercadante?,composer; chapelmaster; director; musicologist
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",M. Siismayer,person,(Q310518),occupation,What is the occupation of M. Siismayer?,composer; conductor
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",Breitkopf,person,(Q55902416),occupation,What is the occupation of Breitkopf?,composer; teacher; printer; librarian; publisher; book printer
"Extract of a Letter from M. Siismayer, Kapelmeister at Vienna, to Messrs. Breitkopf and Haertel, dated Sept. 8, 1800..",Haertel,person,(Q1419801),occupation,What is the occupation of Haertel?,music publisher
We may now quit I Purcell and come » down toa period a little later.,Purcell,person,(Q9695),occupation,What is the occupation of Purcell?,composer; author; organist; musicologist; music theorist
"In October Adelina Patti will re - appear in Paris until December, and will then go for two months'td St. Petersburg, returning to the French capital to complete her engagementiat the Italian Opera House up to May, when Adelina Patti will again visit this country for the Royal Italian Opera season.",Adelina Patti,person,(Q234166),occupation,What is the occupation of Adelina Patti?,composer; opera singer
"In October Adelina Patti will re - appear in Paris until December, and will then go for two months'td St. Petersburg, returning to the French capital to complete her engagementiat the Italian Opera House up to May, when Adelina Patti will again visit this country for the Royal Italian Opera season.",Adelina Patti,person,(Q234166),occupation,What is the occupation of Adelina Patti?,composer; opera singer
"In the soirees of the Princess Belmonte Spinelli, which take place.",Princess Belmonte Spinelli,person,(Q23010905),occupation,What is the occupation of Princess Belmonte Spinelli?,painter
"Mr. Sims Reeves made a genuine hit in Arthur Sullivan’s song,",Mr. Sims Reeves,person,(Q7521239),occupation,What is the occupation of Mr. Sims Reeves?,opera singer
"Mr. Sims Reeves made a genuine hit in Arthur Sullivan’s song,",Arthur Sullivan,person,(Q212692),occupation,What is the occupation of Arthur Sullivan?,composer; conductor; organist; music educator
"Mr. Sams, St. James's Street; and at M. Jullien’s office, 3, Maddox Street, Bond Street.",M. Jullien,person,(Q660539),occupation,What is the occupation of M. Jullien?,composer; conductor
"Seven Years of the King’s Theatre, by J ohn Ebers, late Manager of the King’s Theatre in the Haymarket.",J ohn Ebers,person,(Q6231101),occupation,What is the occupation of J ohn Ebers?,businessperson; bookseller
"We have had a French opera, at the head of which was M. ‘Nourrit, first tenor of the Academie Royale de Musique.",M. ‘ Nourrit,person,(Q634623),occupation,What is the occupation of M. ‘ Nourrit?,composer; choreographer; opera singer; librettist; music educator
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Rubini,person,(Q941040),occupation,What is the occupation of Rubini?,opera singer
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Tamburini,person,(Q605376),occupation,What is the occupation of Tamburini?,opera singer
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Lablache,person,(Q477681),occupation,What is the occupation of Lablache?,composer; stage actor; opera singer; music educator
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Malibran,person,(Q232783),occupation,What is the occupation of Malibran?,actor; composer; stage actor; opera singer
"adapted to the Airs, including upwards of ONE Hunprep Sones dy Burns.",Burns,person,(Q81960),occupation,What is the occupation of Burns?,writer; poet; farmer; songwriter; musicologist
"Spontini's Vestale has been repeated, and met with considerable applause.",Spontini,person,(Q168485),occupation,What is the occupation of Spontini?,composer; conductor; music director
"At some concerts, at the Feydeau, i in 1794, he executed some concerted symphonies of Devienne’s Sy with M. Huguot, Frederic and Charles Duvernoy.",Charles Duvernoy,person,(Q1064184),occupation,What is the occupation of Charles Duvernoy?,composer; clarinetist; musician; university teacher; music educator
< < La voix de téte de Mademoiselle Pasta 2,Mademoiselle Pasta,person,(Q240963),occupation,What is the occupation of Mademoiselle Pasta?,opera singer
"The programme included some favourite songs, and Balfe’s duet",Balfe,person,(Q434171),occupation,What is the occupation of Balfe?,composer; conductor; singer; songwriter; opera singer
"I composed these variations to a Theme which had already been varied by Paganini, I had no intention of publishing them.",Paganini,person,(Q66075),occupation,What is the occupation of Paganini?,composer; guitarist; violist; violinist; classical composer; violin virtuos
"Weber’s Concert Stiick tells a complete story of anxiety in absence, a knight’s return, his true love",Weber,person,(Q154812),occupation,What is the occupation of Weber?,composer; conductor; pianist; guitarist; music critic; classical guitarist
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Arthur O’ Leary,person,(Q17984779),occupation,What is the occupation of Arthur O’ Leary?,composer; pianist; songwriter; music educator
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Brinley Richards,person,(Q4850963),occupation,What is the occupation of Brinley Richards?,composer; pianist; music educator
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Frederick Westlake,person,(Q18546502),occupation,What is the occupation of Frederick Westlake?,composer
"In one of her most eloquent passages, Charlotte Bronté said: —",Charlotte Bronté,person,(Q127332),occupation,What is the occupation of Charlotte Bronté?,writer; teacher; poet; governess; novelist
"Schumann was giving concerts there in Dresden with Joachim, the great. violinist.",Schumann,person,(Q7351),occupation,What is the occupation of Schumann?,writer; composer; conductor; pianist; music critic; musicologist; music educator
"Schumann was giving concerts there in Dresden with Joachim, the great. violinist.",Joachim,person,(Q159976),occupation,What is the occupation of Joachim?,composer; conductor; concertmaster; violist; violinist; university teacher; musicologist; music educator
Mr. Ebers here canvasses the question whether a committee is best calculated to manage a theatre?,Mr. Ebers,person,(Q6231101),occupation,What is the occupation of Mr. Ebers?,businessperson; bookseller
"It is copied from the original, in the hand - writing of the composer, and which, if we are rightly informed, is now - in the possession- of M. Schlesinger, the wellknown music - seller, at Paris.",M. Schlesinger,person,(Q70457),occupation,What is the occupation of M. Schlesinger?,music publisher
This is the most important of Cimador’s Ss arrarigements.,Cimador,person,(Q3762403),occupation,What is the occupation of Cimador?,composer; violinist
"Antoine Barthelemi Bruni was born at Coni, in Piedmont, in 1752, and was a very distinguished violinist.",Antoine Barthelemi Bruni,person,(Q599823),occupation,What is the occupation of Antoine Barthelemi Bruni?,composer; conductor
Musical colouring has gained considerably by Rossini’s new operas.,Rossini,person,(Q9726),occupation,What is the occupation of Rossini?,composer
"— though it was excellently well performed by Phillips, Hill, and Severn.",Phillips,person,(Q18671452),occupation,What is the occupation of Phillips?,composer; singer; autobiographer
"Perluigi da Palestrina was born in the year 1529, at Palestrina, the Preeneste of the antients: he is stated by.",Perluigi da Palestrina,person,(Q179277),occupation,What is the occupation of Perluigi da Palestrina?,composer; singer; chapelmaster; organist; choir director; music educator
"The musical arrangements were under the direction of the organist and choirmaster of the parish church, Mr. J. V, Roberts, Mus, Bac.","Mr. J. V , Roberts",person,(Q56183619),occupation,"What is the occupation of Mr. J. V , Roberts?",composer; organist
"this means the enormous distance there is between Rameau and Lully, the most laboured works of the latter being almost childishly simple compared with Rameau’s first opera.",Rameau,person,(Q1145),occupation,What is the occupation of Rameau?,composer; organist; choreographer; harpsichordist; musicologist; music theorist; theorist
"this means the enormous distance there is between Rameau and Lully, the most laboured works of the latter being almost childishly simple compared with Rameau’s first opera.",Lully,person,(Q1192),occupation,What is the occupation of Lully?,composer; teacher; conductor; ballet dancer; pedagogue; violinist; choreographer; dancer; music educator
"this means the enormous distance there is between Rameau and Lully, the most laboured works of the latter being almost childishly simple compared with Rameau’s first opera.",Rameau,person,(Q9726),occupation,What is the occupation of Rameau?,composer
"* Sento oh Dio” — Madame Ronzi de Begnis, Miss Stephens, Signor Garcia, Signor de Begnis, and Mr. oo Phillips",Madame Ronzi de Begnis,person,(Q3266332),occupation,What is the occupation of Madame Ronzi de Begnis?,opera singer
"* Sento oh Dio” — Madame Ronzi de Begnis, Miss Stephens, Signor Garcia, Signor de Begnis, and Mr. oo Phillips",Miss Stephens,person,(Q5052928),occupation,What is the occupation of Miss Stephens?,actor; opera singer
"* Sento oh Dio” — Madame Ronzi de Begnis, Miss Stephens, Signor Garcia, Signor de Begnis, and Mr. oo Phillips",Signor de Begnis,person,(Q3770409),occupation,What is the occupation of Signor de Begnis?,singer; opera singer
", We - were never more, if indeed so much convinced, of Mr. Braham’s. superior natural and acquired endowment.",Mr. Braham,person,(Q1699393),occupation,What is the occupation of Mr. Braham?,opera singer
"Tue refined and poetical vocal music of Mr. Salaman appears to be winning its way as speedily as it deserves, if we may judge from the list of his works which accompanies this song.",Mr. Salaman,person,(Q2959519),occupation,What is the occupation of Mr. Salaman?,composer; pianist
"- Dittersdorf’s music to the Doctor and Apothecary, a drama translated and prepared for the stage by Mr. Cobb.",Dittersdorf,person,(Q78522),occupation,What is the occupation of Dittersdorf?,composer; conductor; singer; musician; bandleader; violinist
"- Dittersdorf’s music to the Doctor and Apothecary, a drama translated and prepared for the stage by Mr. Cobb.",Mr. Cobb,person,(Q6131504),occupation,What is the occupation of Mr. Cobb?,librettist
"In March 1787, Storace, with his sister, returned to England.",Storace,person,(Q2369747),occupation,What is the occupation of Storace?,composer
"name so Jong as Adelina Patti remains on the stage, which will be for two years more",Adelina Patti,person,(Q234166),occupation,What is the occupation of Adelina Patti?,composer; opera singer
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Bach,person,(Q1339),occupation,What is the occupation of Bach?,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Haydn,person,(Q7349),occupation,What is the occupation of Haydn?,composer; conductor; pianist; musicologist
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Bennett,person,(Q201164),occupation,What is the occupation of Bennett?,composer; conductor; pianist; university teacher; music educator
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Guilmant,person,(Q350359),occupation,What is the occupation of Guilmant?,composer; organist; university teacher; music educator
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Martini,person,(Q283651),occupation,What is the occupation of Martini?,composer; historian; Catholic priest; pianist; musicologist; music theorist; music educator
I shall cite two which Dr. Burney has given in proof of the tact I state.; a.,Dr. Burney,person,(Q547002),occupation,What is the occupation of Dr. Burney?,writer; composer; historian; organist; harpsichordist; musicologist; music historian
Louis Capotorti — who passes for a harmonist of Durante’ Ss.,Louis Capotorti,person,(Q17992489),occupation,What is the occupation of Louis Capotorti?,composer; violinist
Louis Capotorti — who passes for a harmonist of Durante’ Ss.,Durante,person,(Q314221),occupation,What is the occupation of Durante?,composer
"Mr. Hummel’s rondo is a spirited piece, completely in the German style of composition.",Mr. Hummel,person,(Q151953),occupation,What is the occupation of Mr. Hummel?,composer; conductor; pianist; concertmaster; music educator
"The remaining portion of the programme was composed entirely of compositions by Sir Sterndale Bennett, it being the anniversary of his death.",Sir Sterndale Bennett,person,(Q201164),occupation,What is the occupation of Sir Sterndale Bennett?,composer; conductor; pianist; university teacher; music educator
"It begins with a recitative, more powerful than the general tenor of Weber’s writing in this species.",Weber,person,(Q154812),occupation,What is the occupation of Weber?,composer; conductor; pianist; guitarist; music critic; classical guitarist
"I again express a hope that the Copyright Commission, of which Sir Julius Benedict is a member, will in any amendment of the copyright laws compel publishers to notify any reservation of rights.",Sir Julius Benedict,person,(Q510435),occupation,What is the occupation of Sir Julius Benedict?,composer; conductor; pianist
"That Dr. John Bull was admitted to the livery, though not sworn, for his love and kindness in bestowing the music which was performed in the King’s Chamber gratis.",Dr. John Bull,person,(Q511463),occupation,What is the occupation of Dr. John Bull?,composer; organist; harpsichordist; music professor
"Pathetic Air, wiih Variations for the Piano Forte, by J. N. Hummel.",J. N. Hummel,person,(Q151953),occupation,What is the occupation of J. N. Hummel?,composer; conductor; pianist; concertmaster; music educator
"Furno, who fills this post, is equally active and skilful.",Furno,person,(Q555808),occupation,What is the occupation of Furno?,composer; music educator
"The second concert (next Thursday) will open with the Egmont Overture, and the Symphony will be the magnificent No.. 3, in B flat, by Schumann.",Schumann,person,(Q7351),occupation,What is the occupation of Schumann?,writer; composer; conductor; pianist; music critic; musicologist; music educator
