document;span;property;span_gold_qid;retrieved_context_texts;llm_answer;prediction;prediction_label;prediction_description;llm_answer_correct;pred_qid_correct;gold_standard;in_web;in_corpus;Verified;Source
Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.;Annie Albu;sex or gender;NIL;"['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['female'];[np.str_('Q6581072')];female;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person";;;Q6581072;yes;yes;yes;https://kurtofgerolstein.blogspot.com/2019/05/when-girl-isnt-pretty-but-she-can-sing.html
Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.;Annie Albu;country of citizenship;NIL;"['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['United Kingdom of Great Britain and Ireland'];[np.str_('Q145')];United Kingdom;country in north-west Europe;;;Q145;yes;yes;yes;https://kurtofgerolstein.blogspot.com/2019/05/when-girl-isnt-pretty-but-she-can-sing.html
Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.;Annie Albu;occupation;NIL;"['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['singer', 'musician'];[np.str_('Q65620039'), np.str_('Q12374149')];"soul singer; rock musician";"singer who sings soul songs; musician playing rock music";;;Q177220, Q639669;yes;yes;yes;https://kurtofgerolstein.blogspot.com/2019/05/when-girl-isnt-pretty-but-she-can-sing.html
Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.;Annie Albu;date of birth;NIL;"['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";;;;;;;1858;yes;yes;yes;https://kurtofgerolstein.blogspot.com/2019/05/when-girl-isnt-pretty-but-she-can-sing.html
Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.;Annie Albu;family name;;;;;;;;;Q14914655;yes;yes;yes;https://kurtofgerolstein.blogspot.com/2019/05/when-girl-isnt-pretty-but-she-can-sing.html
Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.;Annie Bradley;given name;NIL;"['Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Mr. Atkinson, Miss Fitzherbert, Miss Lockhart, Mr. Windsor, Mr. Venua, Mr. Bissell, Mr. Temsleton, Mr. Piggott, Mr. Longhurst, Mr. Isaac, irs. Davies, Mr. Moses, Mr. Burrage, Mr. Sykes, Miss Masson, Mr. Stumpff, Mr. Burdine, Mr. Chaulieu, Mr. Coventry, Miss Allen, Mr. Forster, Mr. Frost, Mr. Southam, their subscriptions are acknowledged with thanks.', 'Miss Cubitt, Miss Betts, Miss Povey, Miss Andrews, and Miss Farrar.']";['Annie'];[np.str_('Q566893')];Annie;female given name;;;Q566893;;;;
Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.;Annie Bradley;sex or gender;NIL;"['Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Mr. Atkinson, Miss Fitzherbert, Miss Lockhart, Mr. Windsor, Mr. Venua, Mr. Bissell, Mr. Temsleton, Mr. Piggott, Mr. Longhurst, Mr. Isaac, irs. Davies, Mr. Moses, Mr. Burrage, Mr. Sykes, Miss Masson, Mr. Stumpff, Mr. Burdine, Mr. Chaulieu, Mr. Coventry, Miss Allen, Mr. Forster, Mr. Frost, Mr. Southam, their subscriptions are acknowledged with thanks.', 'Miss Cubitt, Miss Betts, Miss Povey, Miss Andrews, and Miss Farrar.']";['female'];[np.str_('Q6581072')];female;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person";;;Q6581072;;;;
Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.;Annie Bradley;country of citizenship;NIL;"['Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Mr. Atkinson, Miss Fitzherbert, Miss Lockhart, Mr. Windsor, Mr. Venua, Mr. Bissell, Mr. Temsleton, Mr. Piggott, Mr. Longhurst, Mr. Isaac, irs. Davies, Mr. Moses, Mr. Burrage, Mr. Sykes, Miss Masson, Mr. Stumpff, Mr. Burdine, Mr. Chaulieu, Mr. Coventry, Miss Allen, Mr. Forster, Mr. Frost, Mr. Southam, their subscriptions are acknowledged with thanks.', 'Miss Cubitt, Miss Betts, Miss Povey, Miss Andrews, and Miss Farrar.']";['United Kingdom of Great Britain and Ireland'];[np.str_('Q145')];United Kingdom;country in north-west Europe;;;Q145;;;;
Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.;Annie Bradley;occupation;NIL;"['Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Mr. Atkinson, Miss Fitzherbert, Miss Lockhart, Mr. Windsor, Mr. Venua, Mr. Bissell, Mr. Temsleton, Mr. Piggott, Mr. Longhurst, Mr. Isaac, irs. Davies, Mr. Moses, Mr. Burrage, Mr. Sykes, Miss Masson, Mr. Stumpff, Mr. Burdine, Mr. Chaulieu, Mr. Coventry, Miss Allen, Mr. Forster, Mr. Frost, Mr. Southam, their subscriptions are acknowledged with thanks.', 'Miss Cubitt, Miss Betts, Miss Povey, Miss Andrews, and Miss Farrar.']";['musician', 'singer', 'composer', 'pianist', 'organist', 'music educator', 'conductor'];[np.str_('Q12374149'), np.str_('Q65620039'), np.str_('Q36834'), np.str_('Q10426592'), np.str_('Q765778'), np.str_('Q2675537'), np.str_('Q228422')];"rock musician; soul singer; composer; bar pianist; organist; music teacher; conductor";"musician playing rock music; singer who sings soul songs; person who is an author of music in any form; occupation; musician who plays any type of organ; person who teaches music; crew member on a bus, train, or other public transportation";;;NIL;;;;
Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.;Annie Bradley;date of birth;NIL;"['Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Mr. Atkinson, Miss Fitzherbert, Miss Lockhart, Mr. Windsor, Mr. Venua, Mr. Bissell, Mr. Temsleton, Mr. Piggott, Mr. Longhurst, Mr. Isaac, irs. Davies, Mr. Moses, Mr. Burrage, Mr. Sykes, Miss Masson, Mr. Stumpff, Mr. Burdine, Mr. Chaulieu, Mr. Coventry, Miss Allen, Mr. Forster, Mr. Frost, Mr. Southam, their subscriptions are acknowledged with thanks.', 'Miss Cubitt, Miss Betts, Miss Povey, Miss Andrews, and Miss Farrar.']";1850-01-01 00:00:00;1850;;;;;NIL;;;;
Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.;Annie Bradley;family name;;;;;;;;;Q896987;;;;
Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.;Annie Butterworth;given name;NIL;['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Miss Cubitt, Miss Betts, Miss Povey, Miss Andrews, and Miss Farrar.', 'Pianoforte : Alice Heathcote, Kate Lyons, Minnie Elwell, Jessie Percivall, Emily Tate, Fanny Boxell, Julia Chute, Fanny Ellis, Margaret Robertson, Annie Frost. Organ: Mary Butterworth. , EXAMINERS.—Harmony: H. C. Banister, H. C. Lunn, C. Steggall, Mus. D., Cantab., Arthur Sullivan Mus. D., Cantab., and the Principal. Singing: G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A.'];['Annie'];[np.str_('Q566893')];Annie;female given name;;;Q566893;no;yes;yes;Corpus
Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.;Annie Butterworth;sex or gender;NIL;['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Miss Cubitt, Miss Betts, Miss Povey, Miss Andrews, and Miss Farrar.', 'Pianoforte : Alice Heathcote, Kate Lyons, Minnie Elwell, Jessie Percivall, Emily Tate, Fanny Boxell, Julia Chute, Fanny Ellis, Margaret Robertson, Annie Frost. Organ: Mary Butterworth. , EXAMINERS.—Harmony: H. C. Banister, H. C. Lunn, C. Steggall, Mus. D., Cantab., Arthur Sullivan Mus. D., Cantab., and the Principal. Singing: G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A.'];['female'];[np.str_('Q6581072')];female;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person";;;Q6581072;no;yes;yes;Corpus
Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.;Annie Butterworth;country of citizenship;NIL;['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Miss Cubitt, Miss Betts, Miss Povey, Miss Andrews, and Miss Farrar.', 'Pianoforte : Alice Heathcote, Kate Lyons, Minnie Elwell, Jessie Percivall, Emily Tate, Fanny Boxell, Julia Chute, Fanny Ellis, Margaret Robertson, Annie Frost. Organ: Mary Butterworth. , EXAMINERS.—Harmony: H. C. Banister, H. C. Lunn, C. Steggall, Mus. D., Cantab., Arthur Sullivan Mus. D., Cantab., and the Principal. Singing: G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A.'];['United Kingdom of Great Britain and Ireland'];[np.str_('Q145')];United Kingdom;country in north-west Europe;;;Q145;no;yes;yes;Corpus
Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.;Annie Butterworth;occupation;NIL;['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Miss Cubitt, Miss Betts, Miss Povey, Miss Andrews, and Miss Farrar.', 'Pianoforte : Alice Heathcote, Kate Lyons, Minnie Elwell, Jessie Percivall, Emily Tate, Fanny Boxell, Julia Chute, Fanny Ellis, Margaret Robertson, Annie Frost. Organ: Mary Butterworth. , EXAMINERS.—Harmony: H. C. Banister, H. C. Lunn, C. Steggall, Mus. D., Cantab., Arthur Sullivan Mus. D., Cantab., and the Principal. Singing: G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A.'];['singer', 'musician', 'vocalist'];[np.str_('Q65620039'), np.str_('Q12374149'), np.str_('Q28771895')];"soul singer; rock musician; vocal composer";"singer who sings soul songs; musician playing rock music; composer who writes vocal music";;;Q177220,Q639669,Q2643890;no;yes;yes;Corpus
Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.;Annie Butterworth;date of birth;NIL;['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Miss Cubitt, Miss Betts, Miss Povey, Miss Andrews, and Miss Farrar.', 'Pianoforte : Alice Heathcote, Kate Lyons, Minnie Elwell, Jessie Percivall, Emily Tate, Fanny Boxell, Julia Chute, Fanny Ellis, Margaret Robertson, Annie Frost. Organ: Mary Butterworth. , EXAMINERS.—Harmony: H. C. Banister, H. C. Lunn, C. Steggall, Mus. D., Cantab., Arthur Sullivan Mus. D., Cantab., and the Principal. Singing: G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A.'];1855-01-01 00:00:00;1855;;;;;NIL;;;;
Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.;Annie Butterworth;family name;;;;;;;;;Q16865227;;;;
Antoine Law rent -Baudron was born at Amiens, i in 117 43.;Antoine Law;given name;NIL;['Antoine Law rent -Baudron was born at Amiens, i in 117 43. After \x0c 54 : ON THE RISE AND PROGRESS. OF THE VIOLIN.', 'Gebauer Francois Réné was born at Veisailles, i in 1775. He .', '‘Zahn was a native of Rotenbourg sur le Tauber, in Franconia.'];['Antoine'];[np.str_('Q15235674')];Antoine;male given name;;;Q15235674;no;yes;yes;Corpus
Antoine Law rent -Baudron was born at Amiens, i in 117 43.;Antoine Law;sex or gender;NIL;['Antoine Law rent -Baudron was born at Amiens, i in 117 43. After \x0c 54 : ON THE RISE AND PROGRESS. OF THE VIOLIN.', 'Gebauer Francois Réné was born at Veisailles, i in 1775. He .', '‘Zahn was a native of Rotenbourg sur le Tauber, in Franconia.'];['male'];[np.str_('Q6581097')];male;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a male or ""semantic gender"" (P10339) to indicate that a word refers to a male person";;;Q6581097;no;yes;yes;Corpus
Antoine Law rent -Baudron was born at Amiens, i in 117 43.;Antoine Law;country of citizenship;NIL;['Antoine Law rent -Baudron was born at Amiens, i in 117 43. After \x0c 54 : ON THE RISE AND PROGRESS. OF THE VIOLIN.', 'Gebauer Francois Réné was born at Veisailles, i in 1775. He .', '‘Zahn was a native of Rotenbourg sur le Tauber, in Franconia.'];['France'];[np.str_('Q142')];France;country in Western Europe;;;Q142;no;yes;yes;Corpus
Antoine Law rent -Baudron was born at Amiens, i in 117 43.;Antoine Law;occupation;NIL;['Antoine Law rent -Baudron was born at Amiens, i in 117 43. After \x0c 54 : ON THE RISE AND PROGRESS. OF THE VIOLIN.', 'Gebauer Francois Réné was born at Veisailles, i in 1775. He .', '‘Zahn was a native of Rotenbourg sur le Tauber, in Franconia.'];['musician', 'composer', 'virtuoso', 'violinist'];[np.str_('Q12374149'), np.str_('Q36834'), np.str_('Q214970'), np.str_('Q1259917')];"rock musician; composer; virtuoso; violinist";"musician playing rock music; person who is an author of music in any form; individual who possesses outstanding technical ability in a particular art or field; musician who plays the violin";;;Q1259917;no;yes;yes;Corpus
Antoine Law rent -Baudron was born at Amiens, i in 117 43.;Antoine Law;date of birth;NIL;['Antoine Law rent -Baudron was born at Amiens, i in 117 43. After \x0c 54 : ON THE RISE AND PROGRESS. OF THE VIOLIN.', 'Gebauer Francois Réné was born at Veisailles, i in 1775. He .', '‘Zahn was a native of Rotenbourg sur le Tauber, in Franconia.'];1741-07-23 00:00:00;1741;;;;;1743;no;yes;yes;Corpus
Antoine Law rent -Baudron was born at Amiens, i in 117 43.;Antoine Law;family name;;;;;;;;;Q16871926;;;;
Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.;Beata Francis;given name;NIL;"['Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['Beata'];[np.str_('Q338015')];Beata;female given name;;;Q338015;;;;
Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.;Beata Francis;sex or gender;NIL;"['Cusins, E. M. Delaborde, E. Silas, Jona Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion, and J. Tilleard.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['female'];[np.str_('Q6581072')];female;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person";;;Q6581072;;;;
